code,date,close,open,high,low,volume,amount
399986.SZ,20220923,5596.9342,5561.7019,5623.048,5561.3356,19911623.0,11286001.1
399986.SZ,20220922,5572.955,5562.4404,5578.904,5543.4659,14792366.0,9391200.5
399986.SZ,20220921,5587.509,5563.3928,5617.5241,5532.4986,15574556.0,10357066.0
399986.SZ,20220920,5564.6884,5626.7883,5628.8579,5556.8614,15898176.0,10661948.7
399986.SZ,20220919,5618.6971,5602.5804,5631.8993,5588.7112,17404114.0,10843338.4
399986.SZ,20220916,5596.59,5698.3084,5706.4745,5596.59,24599374.0,16858911.6
399986.SZ,20220915,5711.3384,5673.1328,5733.2231,5673.1328,27126622.0,20892054.8
399986.SZ,20220914,5647.9118,5647.1221,5687.5992,5642.0318,15979303.0,11363079.4
399986.SZ,20220913,5695.1696,5662.8426,5721.0901,5631.6113,22676132.0,19430336.9
399986.SZ,20220909,5648.8075,5570.7438,5667.038,5563.6776,23131278.0,19850214.2
399986.SZ,20220908,5556.8133,5540.6915,5575.4882,5532.0618,13935734.0,11040761.6
399986.SZ,20220907,5532.5489,5545.9639,5546.3571,5513.0168,13523657.0,10328683.7
399986.SZ,20220906,5558.3333,5584.81,5619.6829,5549.7638,16501418.0,12736416.8
399986.SZ,20220905,5579.0648,5552.8821,5580.5771,5516.5958,14904576.0,10262940.0
399986.SZ,20220902,5558.952,5581.2275,5602.8034,5546.029,14733087.0,10280483.0
399986.SZ,20220901,5569.7487,5577.6776,5610.6279,5563.7616,16192841.0,12048237.5
399986.SZ,20220831,5592.9306,5492.8313,5610.7893,5487.7472,27211487.0,22400617.9
399986.SZ,20220830,5506.8219,5477.3814,5516.1787,5463.8764,16568402.0,12367505.2
399986.SZ,20220829,5480.0836,5496.5453,5516.7626,5453.3172,17261227.0,13392551.7
399986.SZ,20220826,5544.2419,5539.2303,5559.5084,5505.6503,13101777.0,10415006.4
399986.SZ,20220825,5534.0993,5467.9481,5542.2284,5450.0801,14877345.0,11721055.9
399986.SZ,20220824,5457.9493,5474.7718,5511.7551,5456.5564,15484429.0,11211995.2
399986.SZ,20220823,5473.0577,5517.2239,5517.2239,5464.5461,15392922.0,11432493.3
399986.SZ,20220822,5521.1012,5510.0188,5556.7537,5509.5278,13628707.0,10394297.9
399986.SZ,20220819,5528.4962,5489.447,5559.7859,5489.447,15183142.0,11830320.5
399986.SZ,20220818,5503.3177,5559.2971,5559.2971,5490.0388,13124248.0,10427872.1
