,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
325,600649.SH,20190102,5.48,5.55,5.45,5.51,5.47,0.04,0.7313,53371.04,29394.016
324,600649.SH,20190103,5.52,5.65,5.45,5.45,5.51,-0.06,-1.0889,81192.59,44946.341
323,600649.SH,20190104,5.4,5.64,5.38,5.64,5.45,0.19,3.4862,126944.95,70483.729
322,600649.SH,20190107,5.72,5.75,5.65,5.67,5.64,0.03,0.5319,136460.26,77639.184
321,600649.SH,20190108,5.65,5.79,5.64,5.77,5.67,0.1,1.7637,130936.22,75218.076
320,600649.SH,20190109,5.78,5.84,5.7,5.75,5.77,-0.02,-0.3466,134342.32,77598.657
319,600649.SH,20190110,5.75,5.82,5.72,5.76,5.75,0.01,0.1739,85546.44,49310.098
318,600649.SH,20190111,5.76,5.79,5.69,5.74,5.76,-0.02,-0.3472,60309.13,34586.457
317,600649.SH,20190114,5.78,5.78,5.69,5.72,5.74,-0.02,-0.3484,45718.33,26185.173
316,600649.SH,20190115,5.7,5.77,5.68,5.75,5.72,0.03,0.5245,58739.95,33689.702
315,600649.SH,20190116,5.76,5.79,5.71,5.72,5.75,-0.03,-0.5217,54295.77,31217.621
314,600649.SH,20190117,5.73,5.78,5.65,5.72,5.72,0.0,0.0,92328.24,52826.488
313,600649.SH,20190118,5.7,5.72,5.63,5.68,5.72,-0.04,-0.6993,87450.75,49635.835
312,600649.SH,20190121,5.68,5.75,5.67,5.71,5.68,0.03,0.5282,81916.04,46795.431
311,600649.SH,20190122,5.71,5.74,5.57,5.58,5.71,-0.13,-2.2767,85649.01,48527.423
310,600649.SH,20190123,5.6,5.62,5.53,5.56,5.58,-0.02,-0.3584,63106.8,35136.767
309,600649.SH,20190124,5.57,5.64,5.52,5.58,5.56,0.02,0.3597,64466.68,35956.094
308,600649.SH,20190125,5.59,5.63,5.53,5.53,5.58,-0.05,-0.8961,48610.24,27148.194
307,600649.SH,20190128,5.55,5.58,5.45,5.47,5.53,-0.06,-1.085,65390.95,36136.472
306,600649.SH,20190129,5.45,5.48,5.2,5.31,5.47,-0.16,-2.925,81624.07,43709.924
305,600649.SH,20190130,5.35,5.52,5.33,5.39,5.31,0.08,1.5066,74546.76,40469.721
304,600649.SH,20190131,5.4,5.45,5.24,5.31,5.39,-0.08,-1.4842,81413.79,43521.116
303,600649.SH,20190201,5.34,5.5,5.32,5.49,5.31,0.18,3.3898,68543.59,37053.998
302,600649.SH,20190211,5.49,5.6,5.45,5.59,5.49,0.1,1.8215,69714.93,38609.778
301,600649.SH,20190212,5.6,5.68,5.54,5.64,5.59,0.05,0.8945,67764.25,38143.5
300,600649.SH,20190213,5.65,5.81,5.6,5.76,5.64,0.12,2.1277,151806.75,87045.224
299,600649.SH,20190214,5.75,5.94,5.74,5.87,5.76,0.11,1.9097,154837.01,91110.938
298,600649.SH,20190215,5.88,5.92,5.81,5.83,5.87,-0.04,-0.6814,106199.5,62165.652
297,600649.SH,20190218,5.93,5.97,5.88,5.97,5.83,0.14,2.4014,144785.89,85769.944
296,600649.SH,20190219,5.96,6.13,5.9,5.95,5.97,-0.02,-0.335,181900.02,109098.327
295,600649.SH,20190220,5.95,6.02,5.87,5.93,5.95,-0.02,-0.3361,101643.0,60242.439
294,600649.SH,20190221,5.95,6.04,5.88,5.92,5.93,-0.01,-0.1686,140303.54,83540.724
293,600649.SH,20190222,5.95,6.13,5.91,6.13,5.92,0.21,3.5473,194445.81,117372.393
292,600649.SH,20190225,6.2,6.58,6.2,6.57,6.13,0.44,7.1778,371631.03,238160.835
291,600649.SH,20190226,6.68,6.86,6.48,6.51,6.57,-0.06,-0.9132,433281.92,288274.542
290,600649.SH,20190227,6.35,6.53,6.31,6.42,6.51,-0.09,-1.3825,360701.04,231112.575
289,600649.SH,20190228,6.46,6.48,6.27,6.32,6.42,-0.1,-1.5576,215340.79,136942.94
288,600649.SH,20190301,6.35,6.36,6.17,6.25,6.32,-0.07,-1.1076,291315.04,181497.657
287,600649.SH,20190304,6.28,6.57,6.28,6.46,6.25,0.21,3.36,400277.21,257788.093
286,600649.SH,20190305,6.42,7.11,6.4,7.11,6.46,0.65,10.0619,709056.66,486861.904
285,600649.SH,20190306,7.48,7.75,7.14,7.74,7.11,0.63,8.8608,875294.16,653096.527
284,600649.SH,20190307,7.56,7.97,7.44,7.96,7.74,0.22,2.8424,742346.71,572728.341
283,600649.SH,20190308,7.73,7.79,7.47,7.62,7.96,-0.34,-4.2714,513732.1,390698.727
282,600649.SH,20190311,7.67,8.27,7.5,8.26,7.62,0.64,8.399,475808.52,371224.78
281,600649.SH,20190312,8.16,8.55,8.07,8.37,8.26,0.11,1.3317,553170.52,460439.669
280,600649.SH,20190313,8.36,8.67,8.16,8.45,8.37,0.08,0.9558,433425.7,363611.763
279,600649.SH,20190314,8.3,8.44,7.68,7.99,8.45,-0.46,-5.4438,456091.01,362599.251
278,600649.SH,20190315,7.98,8.79,7.94,8.67,7.99,0.68,8.5106,845707.5,719726.482
277,600649.SH,20190318,8.5,8.59,8.21,8.46,8.67,-0.21,-2.4221,525018.17,440986.747
276,600649.SH,20190319,8.36,8.45,8.22,8.32,8.46,-0.14,-1.6548,255320.86,212213.017
275,600649.SH,20190320,8.12,8.17,7.71,7.99,8.32,-0.33,-3.9663,416758.36,330760.871
