,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2580,000789.SZ,20100104,2.9512,2.9709,2.908,2.9473,2.9355,0.011799999999999589,0.402,48393.31,36202.7368
2579,000789.SZ,20100105,2.9591,3.0221,2.9512,3.0103,2.9473,0.06300000000000017,2.1375,66926.73,50740.9669
2578,000789.SZ,20100106,3.0103,3.0536,2.9945,2.9945,3.0103,-0.015800000000000036,-0.5249,62593.55,48111.179
2577,000789.SZ,20100107,2.9827,2.9985,2.8804,2.908,2.9945,-0.08650000000000002,-2.8886,48403.5,36208.0071
2576,000789.SZ,20100108,2.9119,2.9355,2.8725,2.9276,2.908,0.019600000000000062,0.674,31220.64,23008.0987
2575,000789.SZ,20100111,2.9276,2.9512,2.8883,2.908,2.9276,-0.019600000000000062,-0.6695,35560.24,26249.9689
2574,000789.SZ,20100112,2.904,2.9867,2.8962,2.9867,2.908,0.07869999999999999,2.7063,50471.79,37860.7178
2573,000789.SZ,20100113,2.9316,3.0142,2.9158,2.9434,2.9867,-0.043299999999999894,-1.4498,49800.34,37466.9971
2572,000789.SZ,20100114,2.9512,3.0457,2.9473,3.0299,2.9434,0.08650000000000002,2.9388,65304.21,49841.0387
2571,000789.SZ,20100115,3.026,3.0457,2.9906,3.0299,3.0299,0.0,0.0,53931.47,41398.1165
2570,000789.SZ,20100118,3.0299,3.1165,2.9985,3.089,3.0299,0.05909999999999993,1.9506,75631.53,58775.8454
2569,000789.SZ,20100119,3.0772,3.207,3.0417,3.1795,3.089,0.09050000000000002,2.9298,163853.31,130019.0711
2568,000789.SZ,20100120,3.1755,3.1755,3.0063,3.085,3.1795,-0.09450000000000003,-2.9722,122767.78,96448.5661
2567,000789.SZ,20100121,3.085,3.1637,3.0339,3.1401,3.085,0.05509999999999993,1.7861,103115.34,81513.778
2566,000789.SZ,20100122,3.1086,3.1834,3.0536,3.0772,3.1401,-0.06289999999999996,-2.0031,166532.85,132311.2753
2565,000789.SZ,20100125,3.0772,3.1086,2.9709,3.0575,3.0772,-0.01969999999999983,-0.6402,72416.31,56075.8981
2564,000789.SZ,20100126,3.0968,3.1401,2.9867,3.0929,3.0575,0.0354000000000001,1.1578,147237.48,115593.3833
2563,000789.SZ,20100127,3.0772,3.1283,2.8962,2.9001,3.0929,-0.19280000000000008,-6.2336,130127.19,101123.9554
2562,000789.SZ,20100128,2.8371,3.0221,2.7506,2.9237,2.9001,0.023600000000000065,0.8138,114400.17,84717.9215
2561,000789.SZ,20100129,2.8922,3.2149,2.8371,3.2149,2.9237,0.2911999999999999,9.96,263224.61,209257.3484
2560,000789.SZ,20100201,3.3841,3.5376,3.3487,3.5376,3.2149,0.32269999999999976,10.0376,639706.66,567064.5651
2559,000789.SZ,20100202,3.5494,3.813,3.5376,3.6753,3.5376,0.13770000000000016,3.8925,701581.0,649727.8937
2558,000789.SZ,20100203,3.6241,3.8563,3.5887,3.7146,3.6753,0.03929999999999989,1.0693,546686.84,514360.7282
2557,000789.SZ,20100204,3.6635,4.0845,3.6202,4.0845,3.7146,0.36990000000000034,9.958,544059.34,530174.1084
2556,000789.SZ,20100205,3.935,4.0688,3.6753,3.7028,4.0845,-0.3817000000000004,-9.3451,529022.78,515402.6489
2555,000789.SZ,20100208,3.6831,3.8524,3.5966,3.6989,3.7028,-0.0038999999999997925,-0.1053,326209.94,307953.9916
2554,000789.SZ,20100209,3.6674,3.7815,3.6202,3.75,3.6989,0.05109999999999992,1.3815,245577.98,231999.4495
2553,000789.SZ,20100210,3.7618,3.876,3.6438,3.7028,3.75,-0.04720000000000013,-1.2587,211093.58,200783.1817
2552,000789.SZ,20100211,3.6792,3.7579,3.5297,3.5808,3.7028,-0.12199999999999989,-3.2948,219471.07,202218.2017
2551,000789.SZ,20100212,3.573,3.6399,3.5533,3.6084,3.5808,0.02760000000000007,0.7708,137040.75,125372.6289
2550,000789.SZ,20100222,3.5926,3.9114,3.5926,3.7776,3.6084,0.16920000000000002,4.6891,324567.54,310475.1099
2549,000789.SZ,20100223,3.75,3.8248,3.6202,3.8091,3.7776,0.03149999999999986,0.8339,225505.78,213069.7583
2548,000789.SZ,20100224,3.754,3.876,3.7225,3.8012,3.8091,-0.007899999999999796,-0.2074,201146.51,193540.0172
2547,000789.SZ,20100225,3.7933,4.053,3.7776,3.9271,3.8012,0.12589999999999968,3.3121,284902.68,285983.893
2546,000789.SZ,20100226,3.8209,4.0727,3.7579,4.0334,3.9271,0.1063000000000005,2.7068,497105.49,489715.9099
2545,000789.SZ,20100301,3.9586,4.1475,3.935,4.0373,4.0334,0.0038999999999997925,0.0967,349330.77,358134.3165
2544,000789.SZ,20100302,4.1121,4.3206,3.9783,3.9979,4.0373,-0.0394000000000001,-0.9759,378504.47,397568.5355
2543,000789.SZ,20100303,3.9311,4.0255,3.876,3.994,3.9979,-0.0038999999999997925,-0.0976,226051.72,226963.1152
2542,000789.SZ,20100304,3.9311,4.0019,3.7579,3.7697,3.994,-0.2243000000000004,-5.6159,199061.17,196133.0788
2541,000789.SZ,20100305,3.7894,3.8799,3.6831,3.7933,3.7697,0.023600000000000065,0.626,166239.86,160505.6967
2540,000789.SZ,20100308,3.7737,3.8563,3.7382,3.7973,3.7933,0.0040000000000000036,0.1054,100588.39,97569.1251
2539,000789.SZ,20100309,3.7933,3.8012,3.7028,3.7264,3.7973,-0.07089999999999996,-1.8671,92542.25,88160.3776
2538,000789.SZ,20100310,3.7304,3.8012,3.6831,3.7579,3.7264,0.03149999999999986,0.8453,83278.55,79350.835
2537,000789.SZ,20100311,3.754,3.7894,3.6595,3.691,3.7579,-0.06689999999999996,-1.7802,68803.59,64983.962
2536,000789.SZ,20100312,3.695,3.7068,3.5848,3.5926,3.691,-0.09839999999999982,-2.6659,105906.9,97474.9953
2535,000789.SZ,20100315,3.5926,3.6556,3.5572,3.6163,3.5926,0.023699999999999832,0.6597,64764.67,59343.1238
2534,000789.SZ,20100316,3.6438,3.6477,3.5612,3.6359,3.6163,0.019600000000000062,0.542,57127.71,52296.2513
2533,000789.SZ,20100317,3.6281,3.7382,3.6202,3.7264,3.6359,0.09050000000000002,2.4891,107777.49,101073.2231
2532,000789.SZ,20100318,3.7382,3.8366,3.6989,3.8091,3.7264,0.0827,2.2193,149308.96,143031.189
2531,000789.SZ,20100319,3.7776,3.8169,3.7382,3.7658,3.8091,-0.043299999999999894,-1.1368,80046.56,76628.8753
2530,000789.SZ,20100322,3.7618,3.7618,3.6753,3.691,3.7658,-0.0748000000000002,-1.9863,89003.84,83814.3254
2529,000789.SZ,20100323,3.6871,3.754,3.6674,3.695,3.691,0.0040000000000000036,0.1084,66402.14,62611.7391
2528,000789.SZ,20100324,3.7107,3.7776,3.6595,3.7304,3.695,0.0354000000000001,0.9581,106287.69,100729.6287
2527,000789.SZ,20100325,3.7304,3.813,3.632,3.6438,3.7304,-0.08659999999999979,-2.3215,119580.09,113393.7895
2526,000789.SZ,20100326,3.6123,3.6871,3.5926,3.6477,3.6438,0.0038999999999997925,0.107,81367.99,75240.8582
2525,000789.SZ,20100329,3.6517,3.7068,3.6005,3.6831,3.6477,0.0354000000000001,0.9705,91015.39,84546.9708
2524,000789.SZ,20100330,3.691,3.691,3.6359,3.6477,3.6831,-0.0354000000000001,-0.9611,67423.28,62630.4608
2523,000789.SZ,20100331,3.6517,3.6871,3.6005,3.6241,3.6477,-0.023600000000000065,-0.647,78715.82,72733.2199
2522,000789.SZ,20100401,3.6713,3.7658,3.6399,3.754,3.6241,0.12990000000000013,3.5843,173473.69,163211.2484
2521,000789.SZ,20100402,3.7422,3.8405,3.7304,3.813,3.754,0.05900000000000016,1.5717,171360.51,165452.3221
2520,000789.SZ,20100406,3.8366,3.872,3.75,3.7776,3.813,-0.0354000000000001,-0.9284,138604.73,133901.2428
2519,000789.SZ,20100407,3.7815,3.8366,3.7658,3.8169,3.7776,0.03929999999999989,1.0403,98695.38,95365.6826
2518,000789.SZ,20100408,3.7933,3.8248,3.7304,3.7382,3.8169,-0.07869999999999999,-2.0619,88538.78,84725.0501
2517,000789.SZ,20100409,3.7579,3.7973,3.7107,3.7933,3.7382,0.05509999999999993,1.474,77299.41,73825.1552
2516,000789.SZ,20100412,3.8327,3.8445,3.7422,3.8091,3.7933,0.015800000000000036,0.4165,117889.61,114073.9776
2515,000789.SZ,20100413,3.8012,4.0727,3.7658,4.0452,3.8091,0.23610000000000042,6.1983,413683.64,414702.3854
2514,000789.SZ,20100414,4.0058,4.116,3.9389,4.0688,4.0452,0.023600000000000065,0.5834,246347.12,251659.8591
2513,000789.SZ,20100415,4.053,4.0648,3.8878,3.9586,4.0688,-0.1102000000000003,-2.7084,146671.66,148097.3527
2512,000789.SZ,20100416,3.935,3.935,3.813,3.8524,3.9586,-0.1062000000000003,-2.6828,115857.27,113666.9769
2511,000789.SZ,20100419,3.7697,3.8287,3.5454,3.5533,3.8524,-0.2990999999999997,-7.764,145879.32,136918.9645
2510,000789.SZ,20100420,3.5415,3.5612,3.3447,3.4116,3.5533,-0.14170000000000016,-3.9878,118987.53,103801.9697
2509,000789.SZ,20100422,3.4746,3.6044,3.4352,3.5494,3.4116,0.13779999999999992,4.0392,152062.13,135619.2551
2508,000789.SZ,20100423,3.5376,3.5454,3.4667,3.4903,3.5494,-0.05909999999999993,-1.6651,75449.55,67221.7735
2507,000789.SZ,20100426,3.4982,3.4982,3.3762,3.388,3.4903,-0.10230000000000006,-2.931,68335.38,59223.4031
2506,000789.SZ,20100427,3.3762,3.451,3.2857,3.4156,3.388,0.02760000000000007,0.8146,74114.67,63887.8438
2505,000789.SZ,20100428,3.3841,3.451,3.329,3.4156,3.4156,0.0,0.0,50258.38,43347.9249
2504,000789.SZ,20100429,3.4352,3.4785,3.3487,3.3959,3.4156,-0.01969999999999983,-0.5768,70750.58,61675.0647
2503,000789.SZ,20100430,3.3802,3.4195,3.0575,3.1755,3.3959,-0.22040000000000015,-6.4902,100384.46,81546.0773
2502,000789.SZ,20100504,3.1086,3.1401,2.9158,2.9473,3.1755,-0.22820000000000018,-7.1863,77639.33,59793.2985
2501,000789.SZ,20100505,2.9158,3.0811,2.8843,3.0575,2.9473,0.1102000000000003,3.739,63992.21,48788.6616
2500,000789.SZ,20100506,3.0221,3.1165,2.9001,2.9158,3.0575,-0.14170000000000016,-4.6345,68358.99,52768.195
2499,000789.SZ,20100507,2.8017,2.9198,2.7702,2.8293,2.9158,-0.08650000000000002,-2.9666,55929.63,40626.6411
2498,000789.SZ,20100510,2.8175,2.8962,2.7348,2.8607,2.8293,0.031400000000000095,1.1098,57738.86,41521.6067
2497,000789.SZ,20100511,2.9394,2.9434,2.8371,2.8647,2.8607,0.0040000000000000036,0.1398,86674.76,63426.9432
2496,000789.SZ,20100512,2.7938,2.8765,2.7663,2.8686,2.8647,0.0038999999999997925,0.1361,48347.64,34860.2289
2495,000789.SZ,20100513,2.8725,2.904,2.786,2.9001,2.8686,0.031500000000000306,1.0981,73054.5,52886.0521
2494,000789.SZ,20100514,2.8647,2.8962,2.8332,2.8647,2.9001,-0.0354000000000001,-1.2206,50498.02,36763.1773
2493,000789.SZ,20100517,2.7938,2.8371,2.5774,2.5774,2.8647,-0.2873000000000001,-10.029,83437.14,56708.8132
2492,000789.SZ,20100518,2.5499,2.5971,2.4279,2.5735,2.5774,-0.0038999999999997925,-0.1513,79693.93,50971.7663
2491,000789.SZ,20100519,2.5577,2.6168,2.483,2.5105,2.5735,-0.06300000000000017,-2.448,55306.05,35846.0541
2490,000789.SZ,20100520,2.4594,2.7624,2.4358,2.7624,2.5105,0.2519,10.0339,112114.77,77370.2091
2489,000789.SZ,20100521,2.7151,2.9394,2.6837,2.8883,2.7624,0.12590000000000012,4.5576,251335.17,179220.3924
2488,000789.SZ,20100524,2.8529,2.9906,2.8411,2.9473,2.8883,0.05899999999999972,2.0427,216819.99,161449.5599
2487,000789.SZ,20100525,2.9119,2.9434,2.8096,2.845,2.9473,-0.10229999999999961,-3.471,130986.95,95405.5568
2486,000789.SZ,20100526,2.8175,2.8765,2.7742,2.8686,2.845,0.02359999999999962,0.8295,91108.38,65639.1544
2485,000789.SZ,20100527,2.8686,2.9001,2.7663,2.8725,2.8686,0.0039000000000002366,0.136,100947.84,72664.7615
2484,000789.SZ,20100528,2.908,2.9316,2.8056,2.8135,2.8725,-0.05900000000000016,-2.054,83039.01,60220.8464
2483,000789.SZ,20100531,2.8096,2.8096,2.6482,2.6601,2.8135,-0.15339999999999998,-5.4523,78743.08,55020.3865
2482,000789.SZ,20100601,2.6168,2.7112,2.5577,2.6207,2.6601,-0.0394000000000001,-1.4811,60434.75,40328.0743
2481,000789.SZ,20100602,2.6089,2.7112,2.5774,2.7112,2.6207,0.09050000000000002,3.4533,57345.24,38622.9088
2480,000789.SZ,20100603,2.6915,2.7269,2.6364,2.6522,2.7112,-0.05899999999999972,-2.1762,65405.6,44642.8637
2479,000789.SZ,20100604,2.6364,2.7112,2.5695,2.6955,2.6522,0.043299999999999894,1.6326,59157.8,39583.2133
2478,000789.SZ,20100607,2.6207,2.6679,2.5892,2.6364,2.6955,-0.05909999999999993,-2.1925,45207.87,30261.39
2477,000789.SZ,20100608,2.605,2.6955,2.605,2.6679,2.6364,0.03149999999999986,1.1948,50134.48,33891.1252
2476,000789.SZ,20100609,2.6837,2.8214,2.6601,2.782,2.6679,0.11410000000000009,4.2768,93089.03,64706.3291
2475,000789.SZ,20100610,2.7506,2.8568,2.7348,2.782,2.782,0.0,0.0,97949.45,69574.9161
2474,000789.SZ,20100611,2.7978,2.8253,2.7663,2.786,2.782,0.0040000000000000036,0.1438,64398.77,45676.139
2473,000789.SZ,20100617,2.7938,2.8686,2.7624,2.8175,2.786,0.03149999999999986,1.1307,75650.73,54057.3405
2472,000789.SZ,20100618,2.8214,2.8529,2.6797,2.6837,2.8175,-0.13379999999999992,-4.7489,81825.32,57847.2412
2471,000789.SZ,20100621,2.723,2.8843,2.6207,2.8725,2.6837,0.18880000000000008,7.0351,116936.79,83079.0706
2470,000789.SZ,20100622,2.9355,3.0614,2.8922,2.9316,2.8725,0.05909999999999993,2.0574,210196.01,158396.0773
2469,000789.SZ,20100623,3.0024,3.2267,2.9945,3.2267,2.9316,0.29510000000000014,10.0662,304944.95,248945.2779
2468,000789.SZ,20100624,3.2267,3.2542,3.1165,3.2346,3.2267,0.007899999999999796,0.2448,328981.2,266998.5395
2467,000789.SZ,20100625,3.1716,3.2346,3.1086,3.1362,3.2346,-0.09839999999999982,-3.0421,169177.01,136147.1347
2466,000789.SZ,20100628,3.1283,3.2109,2.9709,2.9827,3.1362,-0.1535000000000002,-4.8945,146121.58,114655.8513
2465,000789.SZ,20100629,2.967,3.0221,2.7151,2.7506,2.9827,-0.23209999999999997,-7.7815,158870.33,114227.6699
2464,000789.SZ,20100630,2.7388,2.8883,2.7388,2.8332,2.7506,0.08260000000000023,3.003,134307.08,96585.6555
2463,000789.SZ,20100701,2.7938,2.8293,2.664,2.7191,2.8332,-0.11410000000000009,-4.0272,93532.5,64993.8951
2462,000789.SZ,20100702,2.6286,2.6679,2.4476,2.5853,2.7191,-0.13379999999999992,-4.9207,134707.99,87495.7917
