,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2562,600116.SH,20100104,2.7805,2.8457,2.7449,2.7924,2.7686,0.023800000000000043,0.8596,54474.23,51401.073
2561,600116.SH,20100105,2.8131,2.8339,2.7509,2.8042,2.7924,0.011799999999999589,0.4226,34432.83,32453.917
2560,600116.SH,20100106,2.7953,2.8724,2.7953,2.8339,2.8042,0.02970000000000006,1.0591,52823.82,50471.603
2559,600116.SH,20100107,2.822,2.905,2.7775,2.819,2.8339,-0.014899999999999913,-0.5258,54040.27,51507.962
2558,600116.SH,20100108,2.7983,2.8161,2.7538,2.8101,2.819,-0.00890000000000013,-0.3157,24574.67,23068.627
2557,600116.SH,20100111,2.8339,2.8605,2.7509,2.8131,2.8101,0.0030000000000001137,0.1068,33592.06,31636.688
2556,600116.SH,20100112,2.8101,2.8902,2.7716,2.8783,2.8131,0.06519999999999992,2.3177,90513.26,87158.928
2555,600116.SH,20100113,2.8339,2.908,2.8161,2.8783,2.8783,0.0,0.0,88122.46,85198.571
2554,600116.SH,20100114,2.8813,2.9761,2.8694,2.9643,2.8783,0.0860000000000003,2.9879,110542.32,108726.547
2553,600116.SH,20100115,2.9732,2.9732,2.8902,2.9139,2.9643,-0.05040000000000022,-1.7002,65045.27,64074.664
2552,600116.SH,20100118,2.9376,2.9495,2.8665,2.9435,2.9139,0.02959999999999985,1.0158,62820.96,61672.07
2551,600116.SH,20100119,2.9376,2.9613,2.8931,2.9317,2.9435,-0.011799999999999589,-0.4009,50801.24,50238.52
2550,600116.SH,20100120,2.9406,3.074,2.8783,2.8813,2.9317,-0.05040000000000022,-1.7191,119930.52,120388.526
2549,600116.SH,20100121,2.8783,2.8991,2.8161,2.8842,2.8813,0.0028999999999999027,0.1006,52634.57,50816.938
2548,600116.SH,20100122,2.8694,2.8694,2.7271,2.7894,2.8842,-0.09479999999999977,-3.2869,36594.65,34528.36
2547,600116.SH,20100125,2.7835,2.8072,2.7479,2.7538,2.7894,-0.035600000000000076,-1.2763,19218.18,18077.896
2546,600116.SH,20100126,2.7775,2.7775,2.6264,2.6382,2.7538,-0.11560000000000015,-4.1978,24856.37,22547.202
2545,600116.SH,20100127,2.6708,2.7242,2.6382,2.6767,2.6382,0.03849999999999998,1.4593,25809.57,23394.015
2544,600116.SH,20100128,2.6679,2.7064,2.653,2.7064,2.6767,0.02970000000000006,1.1096,14668.88,13301.822
2543,600116.SH,20100201,2.7064,2.7182,2.653,2.6916,2.7064,-0.014799999999999702,-0.5469,20016.13,18108.868
2542,600116.SH,20100202,2.656,2.6886,2.5611,2.5641,2.6916,-0.1275000000000004,-4.737,51548.6,45545.649
2541,600116.SH,20100203,2.5671,2.6086,2.4959,2.5997,2.5641,0.035600000000000076,1.3884,32035.8,27598.31
2540,600116.SH,20100204,2.5967,2.7094,2.5611,2.659,2.5997,0.05929999999999991,2.281,40857.01,36477.021
2539,600116.SH,20100205,2.5789,2.7242,2.5789,2.6945,2.659,0.03550000000000031,1.3351,55178.83,49834.978
2538,600116.SH,20100208,2.7034,2.7034,2.6323,2.6441,2.6945,-0.05040000000000022,-1.8705,23085.38,20663.521
2537,600116.SH,20100209,2.6649,2.8457,2.6649,2.7094,2.6441,0.06530000000000014,2.4696,54147.36,50273.501
2536,600116.SH,20100210,2.6886,2.7182,2.6856,2.7153,2.7094,0.005900000000000016,0.2178,20275.31,18450.69
2535,600116.SH,20100211,2.7123,2.7212,2.6738,2.6797,2.7153,-0.035600000000000076,-1.3111,15008.59,13636.762
2534,600116.SH,20100212,2.6916,2.742,2.6738,2.7064,2.6797,0.026699999999999946,0.9964,17436.91,15971.257
2533,600116.SH,20100222,2.7064,2.7894,2.7064,2.7509,2.7064,0.044500000000000206,1.6443,32803.25,30527.109
2532,600116.SH,20100223,2.7509,2.8072,2.7182,2.8012,2.7509,0.05030000000000001,1.8285,30945.56,28894.141
2531,600116.SH,20100224,2.7864,2.8902,2.7627,2.8754,2.8012,0.07419999999999982,2.6489,62792.44,60224.161
