,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2489,600519.SH,20100104,172.0,172.0,169.31,169.94,169.82,0.12,0.07,44304.88,753405.635
2488,600519.SH,20100105,170.99,171.5,169.0,169.44,169.94,-0.5,-0.29,31513.18,535720.422
2487,600519.SH,20100106,168.99,169.5,166.31,166.76,169.44,-2.68,-1.58,39889.03,666073.283
2486,600519.SH,20100107,166.76,167.19,161.88,163.72,166.76,-3.04,-1.82,48825.55,801445.269
2485,600519.SH,20100108,164.0,164.0,160.1,162.0,163.72,-1.72,-1.05,36702.09,593162.176
2484,600519.SH,20100111,163.6,164.9,160.5,161.29,162.0,-0.71,-0.44,24461.03,395563.861
2483,600519.SH,20100112,161.45,166.17,160.61,165.65,161.29,4.36,2.7,31063.4,509373.871
2482,600519.SH,20100113,163.99,165.15,161.0,161.44,165.65,-4.21,-2.54,37924.44,621261.8
2481,600519.SH,20100114,162.0,169.2,162.0,168.54,161.44,7.1,4.4,46454.64,775471.608
2480,600519.SH,20100115,168.51,173.38,168.51,169.87,168.54,1.33,0.79,45938.5,788328.964
2479,600519.SH,20100118,170.0,172.26,169.9,170.98,169.87,1.11,0.65,21461.53,368485.894
2478,600519.SH,20100119,170.99,171.5,169.5,169.77,170.98,-1.21,-0.71,17818.91,302797.491
2477,600519.SH,20100120,169.91,170.15,165.8,165.92,169.77,-3.85,-2.27,20972.95,353315.689
2476,600519.SH,20100121,165.86,168.38,165.5,166.73,165.92,0.81,0.49,17257.48,287779.661
2475,600519.SH,20100122,166.6,167.29,161.89,164.13,166.73,-2.6,-1.56,25432.94,416305.093
2474,600519.SH,20100125,163.85,167.3,162.51,166.04,164.13,1.91,1.16,23239.15,385581.318
2473,600519.SH,20100126,168.27,170.17,164.6,166.7,166.04,0.66,0.4,32889.16,553152.669
2472,600519.SH,20100127,166.03,167.78,163.6,163.98,166.7,-2.72,-1.63,19316.57,320765.897
2471,600519.SH,20100128,163.86,170.35,163.5,169.2,163.98,5.22,3.18,30267.52,507716.302
2470,600519.SH,20100129,169.95,170.2,167.68,168.54,169.2,-0.66,-0.39,37172.82,628192.888
2469,600519.SH,20100201,168.88,169.58,167.01,168.89,168.54,0.35,0.21,29655.94,499867.002
2468,600519.SH,20100202,168.0,170.0,166.29,166.52,168.89,-2.37,-1.4,15493.53,260426.281
2467,600519.SH,20100203,166.21,168.1,164.2,165.93,166.52,-0.59,-0.35,23034.65,382974.414
2466,600519.SH,20100204,165.9,169.25,165.13,168.6,165.93,2.67,1.61,22475.33,376703.449
2465,600519.SH,20100205,167.61,171.88,167.0,171.25,168.6,2.65,1.57,26234.3,445744.684
2464,600519.SH,20100208,171.25,175.6,170.52,171.23,171.25,-0.02,-0.01,31496.1,548228.595
2463,600519.SH,20100209,172.0,173.33,170.53,171.11,171.23,-0.12,-0.07,14151.24,243172.993
2462,600519.SH,20100210,172.0,172.59,170.7,171.83,171.11,0.72,0.42,6398.14,109830.207
2461,600519.SH,20100211,171.8,174.44,171.6,173.38,171.83,1.55,0.9,14945.05,259254.548
2460,600519.SH,20100212,173.97,174.2,172.2,173.09,173.38,-0.29,-0.17,9346.4,161899.961
2459,600519.SH,20100222,173.0,173.1,169.07,169.08,173.09,-4.01,-2.32,12178.08,207127.846
2458,600519.SH,20100223,169.25,170.5,164.7,166.75,169.08,-2.33,-1.38,23562.13,391601.201
2457,600519.SH,20100224,166.76,168.6,165.5,167.92,166.75,1.17,0.7,9904.27,165405.133
2456,600519.SH,20100225,166.9,170.0,166.9,168.25,167.92,0.33,0.2,15313.96,258220.826
2455,600519.SH,20100226,168.98,168.98,166.6,166.84,168.25,-1.41,-0.84,10338.58,173028.879
2454,600519.SH,20100301,166.45,167.45,165.99,166.24,166.84,-0.6,-0.36,21734.74,361550.327
2453,600519.SH,20100302,166.61,166.79,164.9,165.6,166.24,-0.64,-0.39,17182.23,284524.248
2452,600519.SH,20100303,165.99,166.24,164.93,165.66,165.6,0.06,0.04,14232.86,235470.73
2451,600519.SH,20100304,166.02,166.85,164.0,165.14,165.66,-0.52,-0.31,14168.97,234440.689
2450,600519.SH,20100305,165.15,165.45,164.28,164.41,165.14,-0.73,-0.44,9770.55,160821.083
2449,600519.SH,20100308,164.48,164.98,162.8,163.18,164.41,-1.23,-0.75,23259.44,380034.354
2448,600519.SH,20100309,163.2,163.7,162.7,163.17,163.18,-0.01,-0.01,12340.97,201437.828
2447,600519.SH,20100310,163.27,163.7,162.9,163.66,163.17,0.49,0.3,11814.06,192984.027
2446,600519.SH,20100311,163.86,164.45,162.58,163.01,163.66,-0.65,-0.4,13518.56,220769.894
2445,600519.SH,20100312,163.02,163.67,161.59,161.92,163.01,-1.09,-0.67,12192.27,197699.619
2444,600519.SH,20100315,161.91,161.91,157.9,158.7,161.92,-3.22,-1.99,15808.51,251338.919
2443,600519.SH,20100316,158.7,159.65,157.9,158.94,158.7,0.24,0.15,7764.13,123284.715
2442,600519.SH,20100317,158.98,160.58,158.9,160.51,158.94,1.57,0.99,18710.93,298972.351
2441,600519.SH,20100318,160.58,161.37,157.75,158.41,160.51,-2.1,-1.31,14726.62,234364.03
2440,600519.SH,20100319,158.88,159.34,158.0,158.76,158.41,0.35,0.22,13361.63,212046.433
2439,600519.SH,20100322,159.24,159.6,157.68,158.0,158.76,-0.76,-0.48,23008.46,364454.79
2438,600519.SH,20100323,157.81,158.48,156.92,157.28,158.0,-0.72,-0.46,18329.9,288785.264
2437,600519.SH,20100324,157.58,159.78,157.55,159.15,157.28,1.87,1.19,20175.66,320611.718
2436,600519.SH,20100325,158.9,158.9,157.8,157.9,159.15,-1.25,-0.79,9813.6,155141.078
2435,600519.SH,20100326,158.17,160.88,158.08,159.66,157.9,1.76,1.11,20527.37,328239.751
2434,600519.SH,20100329,159.7,161.97,159.01,161.72,159.66,2.06,1.29,31475.43,505626.392
2433,600519.SH,20100330,161.76,161.96,159.5,160.01,161.72,-1.71,-1.06,19012.1,304981.145
2432,600519.SH,20100331,159.97,161.62,158.5,158.76,160.01,-1.25,-0.78,14905.16,237596.436
2431,600519.SH,20100401,158.78,160.5,158.76,160.06,158.76,1.3,0.82,23980.83,383228.783
2430,600519.SH,20100402,158.0,158.0,151.6,152.63,160.06,-7.43,-4.64,154281.7,2359758.883
2429,600519.SH,20100406,151.9,152.99,151.3,151.84,152.63,-0.79,-0.52,53122.91,806704.607
2428,600519.SH,20100407,151.87,152.85,151.22,152.13,151.84,0.29,0.19,41061.08,623779.291
2427,600519.SH,20100408,152.16,152.17,150.0,150.51,152.13,-1.62,-1.06,32921.19,497205.376
2426,600519.SH,20100409,150.01,150.6,147.79,149.14,150.51,-1.37,-0.91,54418.18,809627.274
2425,600519.SH,20100412,149.2,149.78,146.78,147.29,149.14,-1.85,-1.24,38514.23,568871.643
2424,600519.SH,20100413,147.4,150.99,146.9,149.88,147.29,2.59,1.76,54305.27,807780.23
2423,600519.SH,20100414,150.87,150.87,148.26,150.52,149.88,0.64,0.43,46368.44,693802.745
2422,600519.SH,20100415,150.65,150.65,147.0,147.48,150.52,-3.04,-2.02,40617.3,602138.292
2421,600519.SH,20100416,147.47,149.51,146.8,147.98,147.48,0.5,0.34,29395.56,434500.524
2420,600519.SH,20100419,148.01,149.55,145.85,146.16,147.98,-1.82,-1.23,41332.19,609860.437
2419,600519.SH,20100420,146.0,146.0,140.12,143.52,146.16,-2.64,-1.81,49387.23,704502.59
2418,600519.SH,20100421,143.5,148.21,141.71,148.02,143.52,4.5,3.14,63365.87,922573.405
2417,600519.SH,20100422,147.35,149.25,146.03,148.56,148.02,0.54,0.36,37063.95,549560.405
2416,600519.SH,20100423,148.0,149.6,143.1,143.83,148.56,-4.73,-3.18,66686.94,972162.191
2415,600519.SH,20100426,139.0,139.58,136.9,136.93,143.83,-6.9,-4.8,107036.13,1480340.425
2414,600519.SH,20100427,136.89,136.89,132.7,132.95,136.93,-3.98,-2.91,58234.48,781868.466
2413,600519.SH,20100428,132.0,133.4,131.0,132.13,132.95,-0.82,-0.62,26287.43,347144.556
2412,600519.SH,20100429,132.56,135.26,132.56,134.25,132.13,2.12,1.6,34501.2,464124.49
2411,600519.SH,20100430,131.43,131.43,127.75,129.03,134.25,-5.22,-3.89,85566.7,1102902.799
