,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
308,603186.SH,20190102,15.3,15.33,15.05,15.16,15.15,0.01,0.066,11840.01,17962.218
307,603186.SH,20190103,15.2,15.38,14.66,14.7,15.16,-0.46,-3.0343,17388.28,25961.665
306,603186.SH,20190104,14.6,14.69,14.03,14.53,14.7,-0.17,-1.1565,21435.91,30979.926
305,603186.SH,20190107,14.89,15.32,14.8,15.21,14.53,0.68,4.68,36199.28,54647.24
304,603186.SH,20190108,16.73,16.73,16.73,16.73,15.21,1.52,9.9934,44703.01,74788.136
303,603186.SH,20190109,16.92,17.41,16.0,16.39,16.73,-0.34,-2.0323,117832.26,197631.236
302,603186.SH,20190110,16.02,16.23,15.74,16.07,16.39,-0.32,-1.9524,60583.21,96631.259
301,603186.SH,20190111,16.04,16.87,15.89,16.36,16.07,0.29,1.8046,54242.92,88979.456
300,603186.SH,20190114,16.12,16.3,15.77,16.02,16.36,-0.34,-2.0782,33641.94,53821.737
299,603186.SH,20190115,15.9,16.48,15.89,16.43,16.02,0.41,2.5593,35606.04,58064.776
298,603186.SH,20190116,16.57,17.75,16.44,16.83,16.43,0.4,2.4346,66276.4,112747.782
297,603186.SH,20190117,16.99,17.35,16.59,16.75,16.83,-0.08,-0.4753,56180.74,95585.675
296,603186.SH,20190118,16.75,16.93,16.3,16.41,16.75,-0.34,-2.0299,31694.0,52349.042
295,603186.SH,20190121,16.41,18.05,16.3,18.05,16.41,1.64,9.9939,78229.91,136503.922
294,603186.SH,20190122,18.95,19.86,18.95,19.86,18.05,1.81,10.0277,152302.84,299508.734
293,603186.SH,20190123,21.0,21.85,20.85,21.85,19.86,1.99,10.0201,142797.19,308933.586
292,603186.SH,20190124,22.0,22.22,20.75,21.42,21.85,-0.43,-1.968,179703.61,384218.136
291,603186.SH,20190125,21.3,21.3,19.36,19.7,21.42,-1.72,-8.0299,144913.35,292100.473
290,603186.SH,20190128,20.07,21.67,20.07,20.75,19.7,1.05,5.3299,151509.1,316215.743
289,603186.SH,20190129,20.18,21.24,19.49,19.85,20.75,-0.9,-4.3373,93239.9,188552.072
288,603186.SH,20190130,20.04,20.28,18.91,18.91,19.85,-0.94,-4.7355,79192.75,154641.165
287,603186.SH,20190131,18.84,19.52,18.47,18.5,18.91,-0.41,-2.1682,58324.0,111110.052
286,603186.SH,20190201,18.98,20.35,18.96,20.35,18.5,1.85,10.0,79372.74,159153.948
285,603186.SH,20190211,21.17,21.39,20.35,20.76,20.35,0.41,2.0147,87150.46,182081.943
284,603186.SH,20190212,21.0,22.84,20.98,22.59,20.76,1.83,8.815,96359.32,214085.27
283,603186.SH,20190213,21.8,23.54,21.8,22.79,22.59,0.2,0.8853,90154.79,204308.501
282,603186.SH,20190214,22.52,24.7,22.52,24.09,22.79,1.3,5.7043,69694.39,165596.211
281,603186.SH,20190215,23.8,24.3,23.28,23.48,24.09,-0.61,-2.5322,49053.15,116201.327
280,603186.SH,20190218,23.66,24.86,23.66,24.85,23.48,1.37,5.8348,64445.14,156778.418
279,603186.SH,20190219,24.75,24.75,23.9,24.19,24.85,-0.66,-2.6559,38933.89,94336.574
278,603186.SH,20190220,24.0,24.19,23.39,23.7,24.19,-0.49,-2.0256,32818.51,77831.809
277,603186.SH,20190221,23.6,25.97,23.6,24.68,23.7,0.98,4.135,64304.23,160851.224
276,603186.SH,20190222,24.81,26.03,24.8,24.9,24.68,0.22,0.8914,71620.44,181269.607
275,603186.SH,20190225,24.8,27.39,24.66,27.39,24.9,2.49,10.0,81020.06,216780.424
274,603186.SH,20190226,27.9,29.49,26.9,27.22,27.39,-0.17,-0.6207,52550.36,147847.606
273,603186.SH,20190227,27.01,28.36,26.35,27.0,27.22,-0.22,-0.8082,43293.92,117324.469
272,603186.SH,20190228,26.8,27.8,25.9,27.47,27.0,0.47,1.7407,42483.35,113571.112
271,603186.SH,20190301,27.1,27.37,25.66,26.39,27.47,-1.08,-3.9316,46466.01,122194.372
270,603186.SH,20190304,26.6,27.87,24.01,27.87,26.39,1.48,5.6082,74219.24,197162.559
269,603186.SH,20190305,27.7,29.4,27.22,28.74,27.87,0.87,3.1216,61914.33,176018.528
268,603186.SH,20190306,28.01,28.33,27.71,28.11,28.74,-0.63,-2.1921,49171.37,137672.282
267,603186.SH,20190307,27.08,27.89,26.5,26.71,28.11,-1.4,-4.9804,55509.63,149203.067
266,603186.SH,20190308,26.05,27.73,25.5,26.07,26.71,-0.64,-2.3961,50107.99,134792.394
265,603186.SH,20190311,26.52,28.68,26.52,28.68,26.07,2.61,10.0115,60678.86,167782.098
264,603186.SH,20190312,29.5,31.54,28.22,31.54,28.68,2.86,9.9721,78924.77,235335.285
263,603186.SH,20190313,31.37,31.37,28.39,28.56,31.54,-2.98,-9.4483,53864.8,160756.124
262,603186.SH,20190314,28.96,29.0,26.76,27.46,28.56,-1.1,-3.8515,37328.34,102852.097
261,603186.SH,20190315,27.51,28.79,27.4,27.48,27.46,0.02,0.0728,29126.77,81694.362
260,603186.SH,20190318,27.87,28.25,26.64,27.61,27.48,0.13,0.4731,30879.26,84721.054
259,603186.SH,20190319,27.7,27.84,26.82,27.21,27.61,-0.4,-1.4488,32856.0,89339.729
258,603186.SH,20190320,27.3,29.8,26.9,29.14,27.21,1.93,7.093,68854.68,193704.809
257,603186.SH,20190321,28.92,29.9,28.3,29.2,29.14,0.06,0.2059,43136.0,126064.261
256,603186.SH,20190322,28.31,29.56,27.3,28.88,29.2,-0.32,-1.0959,57045.01,161290.576
255,603186.SH,20190325,27.9,30.9,27.6,29.0,28.88,0.12,0.4155,54550.97,161032.461
254,603186.SH,20190326,29.52,29.65,28.32,28.59,29.0,-0.41,-1.4138,31525.57,91166.539
253,603186.SH,20190327,29.01,31.45,28.39,30.6,28.59,2.01,7.0304,62826.91,191268.569
252,603186.SH,20190328,30.6,32.46,30.04,31.0,30.6,0.4,1.3072,49356.43,155067.815
251,603186.SH,20190329,31.22,31.75,30.22,31.45,31.0,0.45,1.4516,41645.78,129802.499
250,603186.SH,20190401,30.51,32.88,30.51,32.13,31.45,0.68,2.1622,75809.52,240078.747
249,603186.SH,20190402,32.05,32.05,31.0,31.04,32.13,-1.09,-3.3925,35535.39,111542.523
248,603186.SH,20190403,30.91,31.04,30.49,30.93,31.04,-0.11,-0.3544,16601.05,50989.569
247,603186.SH,20190404,30.67,31.25,29.8,29.9,30.93,-1.03,-3.3301,31277.5,94441.643
246,603186.SH,20190408,29.92,30.39,29.21,29.51,29.9,-0.39,-1.3043,26441.82,78896.979
245,603186.SH,20190409,29.85,31.47,29.45,31.08,29.51,1.57,5.3202,36645.88,112962.205
244,603186.SH,20190410,30.6,32.24,30.6,31.23,31.08,0.15,0.4826,28727.17,90560.235
243,603186.SH,20190411,30.8,31.15,28.69,28.76,31.23,-2.47,-7.9091,47077.75,138746.412
242,603186.SH,20190412,28.86,29.37,27.88,28.52,28.76,-0.24,-0.8345,22526.44,64091.513
241,603186.SH,20190415,28.92,29.8,28.4,29.31,28.52,0.79,2.77,42796.45,125238.412
240,603186.SH,20190416,29.24,31.99,28.4,31.29,29.31,1.98,6.7554,46782.6,142985.943
239,603186.SH,20190417,31.41,32.2,30.57,31.98,31.29,0.69,2.2052,57388.72,181185.636
238,603186.SH,20190418,32.0,34.43,31.99,33.66,31.98,1.68,5.2533,60721.77,203978.772
