,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
318,300318.SZ,20190102,3.82,3.9,3.71,3.73,3.98,-0.25,-6.2814,60808.67,23101.151
317,300318.SZ,20190103,3.68,3.74,3.67,3.73,3.73,0.0,0.0,28792.69,10652.79
316,300318.SZ,20190104,3.71,3.8,3.66,3.77,3.73,0.04,1.0724,27276.82,10180.458
315,300318.SZ,20190107,3.79,3.85,3.76,3.84,3.77,0.07,1.8568,32615.27,12428.749
314,300318.SZ,20190108,3.84,4.04,3.79,3.9,3.84,0.06,1.5625,52020.23,20338.388
313,300318.SZ,20190109,3.9,3.94,3.82,3.87,3.9,-0.03,-0.7692,40772.43,15812.834
312,300318.SZ,20190110,3.86,3.94,3.84,3.86,3.87,-0.01,-0.2584,22818.39,8870.467
311,300318.SZ,20190111,3.86,3.9,3.84,3.89,3.86,0.03,0.7772,15408.3,5967.223
310,300318.SZ,20190114,3.92,3.92,3.84,3.85,3.89,-0.04,-1.0283,16184.0,6262.699
309,300318.SZ,20190115,3.85,3.92,3.83,3.92,3.85,0.07,1.8182,16349.36,6359.889
308,300318.SZ,20190116,3.92,3.93,3.88,3.9,3.92,-0.02,-0.5102,12650.08,4937.068
307,300318.SZ,20190117,3.87,3.87,3.78,3.83,3.9,-0.07,-1.7949,20680.24,7926.385
306,300318.SZ,20190118,3.83,3.88,3.81,3.86,3.83,0.03,0.7833,14755.72,5672.001
305,300318.SZ,20190121,3.89,4.16,3.89,4.0,3.86,0.14,3.6269,82784.44,33485.374
304,300318.SZ,20190122,3.94,3.99,3.91,3.93,4.0,-0.07,-1.75,34234.24,13477.875
303,300318.SZ,20190123,3.91,3.97,3.81,3.93,3.93,0.0,0.0,34359.0,13297.459
302,300318.SZ,20190124,3.89,3.94,3.85,3.91,3.93,-0.02,-0.5089,23046.04,8995.602
301,300318.SZ,20190125,3.88,3.93,3.86,3.88,3.91,-0.03,-0.7673,18450.5,7171.223
300,300318.SZ,20190128,3.91,3.93,3.83,3.86,3.88,-0.02,-0.5155,14242.79,5517.38
299,300318.SZ,20190129,3.85,3.88,3.7,3.76,3.86,-0.1,-2.5907,16152.72,6087.093
298,300318.SZ,20190130,3.73,3.78,3.73,3.73,3.76,-0.03,-0.7979,8058.99,3030.15
297,300318.SZ,20190131,3.73,3.78,3.69,3.71,3.73,-0.02,-0.5362,15755.62,5880.516
296,300318.SZ,20190201,3.74,3.85,3.74,3.83,3.71,0.12,3.2345,14414.0,5467.948
295,300318.SZ,20190211,3.89,3.92,3.81,3.91,3.83,0.08,2.0888,18015.09,6989.902
294,300318.SZ,20190212,3.92,4.01,3.9,3.99,3.91,0.08,2.046,34534.26,13685.18
293,300318.SZ,20190213,3.98,4.04,3.94,4.04,3.99,0.05,1.2531,40621.27,16206.032
292,300318.SZ,20190214,4.03,4.04,3.96,4.0,4.04,-0.04,-0.9901,37312.97,14918.821
291,300318.SZ,20190215,4.03,4.12,3.99,4.01,4.0,0.01,0.25,44371.72,17971.866
290,300318.SZ,20190218,4.02,4.28,4.02,4.19,4.01,0.18,4.4888,65485.78,27211.303
289,300318.SZ,20190219,4.21,4.25,4.11,4.2,4.19,0.01,0.2387,52174.52,21779.352
288,300318.SZ,20190220,4.21,4.22,4.14,4.19,4.2,-0.01,-0.2381,28008.97,11676.309
287,300318.SZ,20190221,4.19,4.31,4.17,4.22,4.19,0.03,0.716,57108.95,24249.807
286,300318.SZ,20190222,4.47,4.64,4.32,4.38,4.22,0.16,3.7915,122776.74,54818.364
285,300318.SZ,20190225,4.5,4.57,4.34,4.53,4.38,0.15,3.4247,118960.67,52923.365
284,300318.SZ,20190226,4.5,4.68,4.41,4.55,4.53,0.02,0.4415,108191.92,49201.718
283,300318.SZ,20190227,4.53,4.54,4.4,4.45,4.55,-0.1,-2.1978,68357.64,30592.463
282,300318.SZ,20190228,4.48,4.62,4.46,4.55,4.45,0.1,2.2472,63973.18,29113.828
281,300318.SZ,20190301,4.56,4.64,4.47,4.56,4.55,0.01,0.2198,49341.94,22324.071
280,300318.SZ,20190304,4.59,4.68,4.54,4.6,4.56,0.04,0.8772,69890.37,32252.379
279,300318.SZ,20190305,4.59,4.76,4.56,4.73,4.6,0.13,2.8261,78031.95,36643.558
278,300318.SZ,20190306,4.73,5.13,4.7,4.97,4.73,0.24,5.074,149088.57,73390.493
277,300318.SZ,20190307,4.93,5.04,4.82,4.98,4.97,0.01,0.2012,91222.55,44912.456
276,300318.SZ,20190308,4.87,5.01,4.68,4.72,4.98,-0.26,-5.2209,89227.56,43212.476
275,300318.SZ,20190311,4.7,4.99,4.7,4.97,4.72,0.25,5.2966,79136.8,38459.515
274,300318.SZ,20190312,5.0,5.36,4.99,5.16,4.97,0.19,3.8229,136506.3,69912.82
