,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
318,600684.SH,20190102,4.35,4.38,4.25,4.29,4.35,-0.06,-1.3793,147994.89,63439.618
317,600684.SH,20190103,4.19,4.22,3.86,3.9,4.29,-0.39,-9.0909,340616.86,136908.232
316,600684.SH,20190104,3.81,4.03,3.76,4.0,3.9,0.1,2.5641,205949.94,80845.346
315,600684.SH,20190107,4.02,4.07,3.99,4.03,4.0,0.03,0.75,167896.83,67640.974
314,600684.SH,20190108,4.0,4.09,3.96,4.05,4.03,0.02,0.4963,129234.22,52108.091
313,600684.SH,20190109,4.03,4.19,4.03,4.06,4.05,0.01,0.2469,164969.29,67792.403
312,600684.SH,20190110,4.05,4.1,4.03,4.05,4.06,-0.01,-0.2463,111176.2,45156.347
311,600684.SH,20190111,4.06,4.09,3.96,4.01,4.05,-0.04,-0.9877,139689.52,55946.457
310,600684.SH,20190114,4.02,4.03,3.93,3.95,4.01,-0.06,-1.4963,99360.72,39535.876
309,600684.SH,20190115,3.98,4.06,3.95,4.04,3.95,0.09,2.2785,94210.72,37751.341
308,600684.SH,20190116,4.05,4.25,4.03,4.16,4.04,0.12,2.9703,236604.4,98342.14
307,600684.SH,20190117,4.11,4.14,4.04,4.09,4.16,-0.07,-1.6827,140917.48,57598.506
306,600684.SH,20190118,4.1,4.13,4.06,4.11,4.09,0.02,0.489,106421.04,43594.017
305,600684.SH,20190121,4.09,4.13,4.06,4.08,4.11,-0.03,-0.7299,97968.8,40098.781
304,600684.SH,20190122,4.08,4.34,4.06,4.2,4.08,0.12,2.9412,275886.17,115908.607
303,600684.SH,20190123,4.14,4.16,4.08,4.12,4.2,-0.08,-1.9048,146151.22,60210.305
302,600684.SH,20190124,4.13,4.17,4.09,4.12,4.12,0.0,0.0,98363.6,40573.356
301,600684.SH,20190125,4.07,4.11,4.0,4.03,4.12,-0.09,-2.1845,127254.62,51648.925
300,600684.SH,20190128,4.05,4.14,4.0,4.04,4.03,0.01,0.2481,85509.21,34715.163
299,600684.SH,20190129,4.04,4.05,3.9,3.98,4.04,-0.06,-1.4851,91242.5,36285.528
298,600684.SH,20190130,3.96,4.08,3.89,3.91,3.98,-0.07,-1.7588,100876.62,39940.97
297,600684.SH,20190131,3.92,3.95,3.83,3.84,3.91,-0.07,-1.7903,76575.4,29798.893
296,600684.SH,20190201,3.87,3.96,3.87,3.95,3.84,0.11,2.8646,67868.36,26678.725
295,600684.SH,20190211,3.96,4.02,3.95,4.02,3.95,0.07,1.7722,97236.76,38841.661
294,600684.SH,20190212,4.01,4.26,4.0,4.17,4.02,0.15,3.7313,202554.51,84040.975
293,600684.SH,20190213,4.14,4.26,4.13,4.24,4.17,0.07,1.6787,211179.94,89008.23
292,600684.SH,20190214,4.22,4.44,4.19,4.39,4.24,0.15,3.5377,277521.99,120567.059
291,600684.SH,20190215,4.38,4.42,4.32,4.41,4.39,0.02,0.4556,210794.5,92153.094
290,600684.SH,20190218,4.52,4.58,4.44,4.56,4.41,0.15,3.4014,235469.21,106048.202
289,600684.SH,20190219,5.02,5.02,5.02,5.02,4.56,0.46,10.0877,137181.42,68865.073
288,600684.SH,20190220,5.52,5.52,5.05,5.18,5.02,0.16,3.1873,1029192.83,543172.748
287,600684.SH,20190221,5.0,5.08,4.88,4.92,5.18,-0.26,-5.0193,572598.57,284731.377
286,600684.SH,20190222,4.97,4.98,4.85,4.94,4.92,0.02,0.4065,346195.04,169819.862
285,600684.SH,20190225,5.0,5.24,4.86,5.16,4.94,0.22,4.4534,647096.36,324767.564
284,600684.SH,20190226,5.1,5.13,4.96,5.01,5.16,-0.15,-2.907,433790.61,218986.327
283,600684.SH,20190227,4.96,5.09,4.93,5.01,5.01,0.0,0.0,265610.63,133069.124
282,600684.SH,20190228,5.02,5.12,5.0,5.06,5.01,0.05,0.998,286906.25,145093.309
281,600684.SH,20190301,5.05,5.08,4.93,5.02,5.06,-0.04,-0.7905,215418.08,107659.3
280,600684.SH,20190304,5.05,5.22,5.01,5.09,5.02,0.07,1.3944,456305.25,233778.289
279,600684.SH,20190305,5.09,5.17,5.07,5.16,5.09,0.07,1.3752,297805.91,152581.484
278,600684.SH,20190306,5.15,5.35,5.07,5.26,5.16,0.1,1.938,459961.51,239423.822
277,600684.SH,20190307,5.21,5.35,5.15,5.25,5.26,-0.01,-0.1901,398489.43,208656.216
276,600684.SH,20190308,5.16,5.19,4.8,4.87,5.25,-0.38,-7.2381,347193.47,174681.536
275,600684.SH,20190311,4.9,5.04,4.87,5.01,4.87,0.14,2.8747,214479.18,106221.089
274,600684.SH,20190312,5.02,5.09,4.94,5.01,5.01,0.0,0.0,255476.6,128706.971
273,600684.SH,20190313,5.01,5.12,4.97,5.03,5.01,0.02,0.3992,246676.72,124657.905
272,600684.SH,20190314,5.04,5.05,4.76,4.83,5.03,-0.2,-3.9761,207062.28,101142.873
271,600684.SH,20190315,4.81,5.05,4.8,5.0,4.83,0.17,3.5197,230610.39,114573.794
270,600684.SH,20190318,5.06,5.29,5.01,5.24,5.0,0.24,4.8,366527.64,189125.447
269,600684.SH,20190319,5.3,5.5,5.23,5.48,5.24,0.24,4.5802,497832.37,266944.807
268,600684.SH,20190320,5.47,5.52,5.15,5.31,5.48,-0.17,-3.1022,399792.38,213886.121
267,600684.SH,20190321,5.32,5.39,5.2,5.25,5.31,-0.06,-1.1299,304818.72,161703.963
266,600684.SH,20190322,5.26,5.38,5.21,5.29,5.25,0.04,0.7619,208494.17,110064.601
265,600684.SH,20190325,5.2,5.53,5.17,5.26,5.29,-0.03,-0.5671,328670.15,176259.511
264,600684.SH,20190326,5.32,5.39,5.17,5.2,5.26,-0.06,-1.1407,228445.25,120830.139
263,600684.SH,20190327,5.22,5.26,5.07,5.2,5.2,0.0,0.0,159393.59,82242.88
262,600684.SH,20190328,5.18,5.18,4.93,4.97,5.2,-0.23,-4.4231,205297.06,103782.632
261,600684.SH,20190329,5.03,5.15,4.89,5.12,4.97,0.15,3.0181,169087.28,85280.778
260,600684.SH,20190401,5.12,5.33,5.12,5.3,5.12,0.18,3.5156,264952.43,139792.294
259,600684.SH,20190402,5.47,5.51,5.22,5.27,5.3,-0.03,-0.566,289885.1,154353.343
258,600684.SH,20190403,5.3,5.56,5.24,5.52,5.27,0.25,4.7438,481700.72,262169.832
257,600684.SH,20190404,5.58,5.63,5.38,5.46,5.52,-0.06,-1.087,309495.15,169308.383
