,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
314,002859.SZ,20190102,30.33,30.65,30.08,30.4,30.75,-0.35,-1.1382,14733.14,44749.691
313,002859.SZ,20190103,30.2,30.67,29.69,29.69,30.4,-0.71,-2.3355,14724.96,44387.269
312,002859.SZ,20190104,29.5,30.25,29.2,30.07,29.69,0.38,1.2799,19155.9,57148.862
311,002859.SZ,20190107,30.08,30.83,29.78,30.64,30.07,0.57,1.8956,25167.32,76736.035
310,002859.SZ,20190108,30.49,31.19,30.46,30.6,30.64,-0.04,-0.1305,15123.64,46557.101
309,002859.SZ,20190109,30.46,31.17,30.46,30.88,30.6,0.28,0.915,19559.64,60471.222
308,002859.SZ,20190110,30.95,31.1,30.42,30.52,30.88,-0.36,-1.1658,16097.0,49259.427
307,002859.SZ,20190111,30.75,30.96,30.41,30.5,30.52,-0.02,-0.0655,13918.37,42576.908
306,002859.SZ,20190114,30.56,30.77,30.1,30.64,30.5,0.14,0.459,11320.64,34598.065
305,002859.SZ,20190115,30.4,30.97,30.4,30.94,30.64,0.3,0.9791,15187.0,46742.206
304,002859.SZ,20190116,30.86,31.15,30.85,30.91,30.94,-0.03,-0.097,12862.17,39857.57
303,002859.SZ,20190117,30.8,30.97,30.46,30.59,30.91,-0.32,-1.0353,16914.28,51890.611
302,002859.SZ,20190118,30.46,31.93,30.46,31.69,30.59,1.1,3.5959,32033.3,100898.439
301,002859.SZ,20190121,31.98,32.29,31.6,31.7,31.69,0.01,0.0316,26167.48,83297.947
300,002859.SZ,20190122,31.83,31.94,31.58,31.79,31.7,0.09,0.2839,14457.89,45953.658
299,002859.SZ,20190123,31.75,32.2,31.55,31.82,31.79,0.03,0.0944,13333.73,42440.552
298,002859.SZ,20190124,31.65,32.39,31.65,32.07,31.82,0.25,0.7857,18100.17,58179.855
297,002859.SZ,20190125,32.07,33.03,32.05,32.55,32.07,0.48,1.4967,19554.39,63839.769
296,002859.SZ,20190128,32.84,33.0,32.2,32.27,32.55,-0.28,-0.8602,15903.08,51816.148
295,002859.SZ,20190129,32.39,32.5,31.32,32.2,32.27,-0.07,-0.2169,19525.42,62285.117
294,002859.SZ,20190130,32.11,32.55,31.65,31.65,32.2,-0.55,-1.7081,12231.89,39087.048
293,002859.SZ,20190131,31.79,32.1,31.39,31.85,31.65,0.2,0.6319,13624.02,43196.679
292,002859.SZ,20190201,31.85,32.48,31.76,32.37,31.85,0.52,1.6327,14598.34,46920.306
291,002859.SZ,20190211,32.37,33.45,32.3,33.35,32.37,0.98,3.0275,20839.37,69030.332
290,002859.SZ,20190212,33.21,34.01,32.8,34.0,33.35,0.65,1.949,26985.49,91105.765
289,002859.SZ,20190213,34.15,34.39,33.86,34.18,34.0,0.18,0.5294,31711.68,108373.006
288,002859.SZ,20190214,34.35,35.27,34.35,34.89,34.18,0.71,2.0772,31929.82,111568.725
287,002859.SZ,20190215,34.87,35.08,34.6,34.78,34.89,-0.11,-0.3153,17764.5,61867.748
286,002859.SZ,20190218,34.9,36.15,34.9,35.93,34.78,1.15,3.3065,25543.59,90915.143
285,002859.SZ,20190219,35.81,35.81,34.01,34.49,35.93,-1.44,-4.0078,55276.34,192515.316
284,002859.SZ,20190220,34.6,34.8,34.04,34.57,34.49,0.08,0.232,23348.89,80337.045
283,002859.SZ,20190221,34.69,35.32,34.36,34.9,34.57,0.33,0.9546,28430.07,99275.963
282,002859.SZ,20190222,34.43,35.1,34.3,34.86,34.9,-0.04,-0.1146,23673.05,82103.048
281,002859.SZ,20190225,34.91,36.6,34.91,36.31,34.86,1.45,4.1595,49235.95,176713.376
280,002859.SZ,20190226,36.14,36.27,35.2,35.6,36.31,-0.71,-1.9554,36925.67,131785.443
279,002859.SZ,20190227,35.3,35.68,34.51,34.78,35.6,-0.82,-2.3034,33168.89,115867.189
278,002859.SZ,20190228,34.78,35.22,34.5,34.96,34.78,0.18,0.5175,16186.07,56292.398
277,002859.SZ,20190301,34.96,35.08,34.31,34.6,34.96,-0.36,-1.0297,21491.34,74217.41
276,002859.SZ,20190304,34.7,35.77,34.7,35.17,34.6,0.57,1.6474,35441.15,125055.414
275,002859.SZ,20190305,35.2,36.05,35.1,36.05,35.17,0.88,2.5021,32884.32,116992.411
274,002859.SZ,20190306,36.16,36.35,35.01,35.78,36.05,-0.27,-0.749,34735.55,123860.507
273,002859.SZ,20190307,35.67,36.5,35.35,36.17,35.78,0.39,1.09,38730.71,139040.022
272,002859.SZ,20190308,35.6,38.48,35.2,37.3,36.17,1.13,3.1241,63408.27,234547.213
271,002859.SZ,20190311,37.69,39.13,36.91,39.13,37.3,1.83,4.9062,61408.22,234011.935
270,002859.SZ,20190312,39.2,39.2,38.03,39.0,39.13,-0.13,-0.3322,43982.92,170414.445
269,002859.SZ,20190313,38.8,38.95,37.06,37.6,39.0,-1.4,-3.5897,29673.17,113339.191
268,002859.SZ,20190314,37.01,37.44,36.1,36.34,37.6,-1.26,-3.3511,27554.48,100888.704
267,002859.SZ,20190315,36.51,36.93,35.8,36.68,36.34,0.34,0.9356,35160.4,127618.863
266,002859.SZ,20190318,36.0,36.72,35.1,36.5,36.68,-0.18,-0.4907,48699.04,174005.278
265,002859.SZ,20190319,36.5,36.6,35.85,35.92,36.5,-0.58,-1.589,45912.43,165674.289
264,002859.SZ,20190320,35.99,36.0,34.7,35.37,35.92,-0.55,-1.5312,39657.85,139686.543
263,002859.SZ,20190321,35.31,35.96,35.0,35.78,35.37,0.41,1.1592,28404.78,101357.26
262,002859.SZ,20190322,35.78,35.82,35.04,35.76,35.78,-0.02,-0.0559,21412.6,76043.224
261,002859.SZ,20190325,35.28,35.69,35.08,35.39,35.76,-0.37,-1.0347,26363.37,93304.793
260,002859.SZ,20190326,35.38,36.3,35.0,35.5,35.39,0.11,0.3108,34529.3,123232.168
259,002859.SZ,20190327,35.58,35.67,33.72,34.43,35.5,-1.07,-3.0141,47275.1,162690.22
258,002859.SZ,20190328,34.3,34.85,34.1,34.41,34.43,-0.02,-0.0581,20910.7,72087.789
257,002859.SZ,20190329,34.21,35.09,33.94,35.01,34.41,0.6,1.7437,34793.49,120722.919
256,002859.SZ,20190401,35.36,36.15,35.0,36.0,35.01,0.99,2.8278,34070.59,122087.592
255,002859.SZ,20190402,36.01,36.35,35.8,35.9,36.0,-0.1,-0.2778,26247.3,94508.471
254,002859.SZ,20190403,35.65,36.8,35.65,36.39,35.9,0.49,1.3649,30416.7,110857.197
253,002859.SZ,20190404,36.27,36.94,36.14,36.43,36.39,0.04,0.1099,27867.54,101827.597
252,002859.SZ,20190408,36.46,36.85,35.64,36.1,36.43,-0.33,-0.9058,26863.39,96934.375
251,002859.SZ,20190409,35.85,36.29,35.71,36.09,36.1,-0.01,-0.0277,14287.5,51455.055
250,002859.SZ,20190410,35.86,36.4,35.73,36.08,36.09,-0.01,-0.0277,23589.99,85104.596
249,002859.SZ,20190411,36.01,36.33,35.3,35.55,36.08,-0.53,-1.469,23225.89,82865.402
248,002859.SZ,20190412,35.37,36.35,35.31,36.3,35.55,0.75,2.1097,28255.52,101986.905
247,002859.SZ,20190415,36.81,36.88,36.02,36.02,36.3,-0.28,-0.7713,18766.93,68349.356
246,002859.SZ,20190416,35.85,36.3,35.36,36.3,36.02,0.28,0.7773,19572.76,70218.486
245,002859.SZ,20190417,36.42,36.62,35.95,36.0,36.3,-0.3,-0.8264,18720.35,67957.039
244,002859.SZ,20190418,36.0,36.15,35.53,36.0,36.0,0.0,0.0,15194.2,54409.287
243,002859.SZ,20190419,35.77,35.99,35.4,35.6,35.78,-0.18,-0.5031,18539.38,66055.535
242,002859.SZ,20190422,35.81,35.81,35.01,35.15,35.6,-0.45,-1.264,18669.17,66046.558
241,002859.SZ,20190423,34.95,35.29,34.2,34.28,35.15,-0.87,-2.4751,23424.67,81234.636
240,002859.SZ,20190424,34.28,34.52,33.85,34.51,34.28,0.23,0.6709,15527.0,53164.172
239,002859.SZ,20190425,33.0,33.34,31.61,33.28,34.51,-1.23,-3.5642,63613.96,207554.228
238,002859.SZ,20190426,32.62,33.9,32.52,33.51,33.28,0.23,0.6911,26607.48,89071.728
237,002859.SZ,20190429,33.43,34.45,32.91,33.65,33.51,0.14,0.4178,20366.3,68601.539
236,002859.SZ,20190430,33.34,34.24,33.34,34.1,33.65,0.45,1.3373,13879.44,47195.08
235,002859.SZ,20190506,32.77,33.8,30.72,31.63,34.1,-2.47,-7.2434,30210.0,97426.948
234,002859.SZ,20190507,31.65,32.45,30.75,31.88,31.63,0.25,0.7904,24888.97,78041.863
233,002859.SZ,20190508,31.19,31.9,30.51,31.35,31.88,-0.53,-1.6625,10158.82,31866.716
232,002859.SZ,20190509,31.4,31.46,30.22,30.22,31.35,-1.13,-3.6045,10031.7,30878.421
231,002859.SZ,20190510,30.12,31.11,29.55,31.0,30.22,0.78,2.5811,12332.41,37815.141
230,002859.SZ,20190513,30.58,31.19,30.45,30.9,31.0,-0.1,-0.3226,6900.5,21278.491
229,002859.SZ,20190514,30.83,31.1,30.55,30.8,30.9,-0.1,-0.3236,6570.0,20324.033
228,002859.SZ,20190515,30.84,31.24,30.64,30.99,30.8,0.19,0.6169,7646.2,23604.009
227,002859.SZ,20190516,30.96,31.18,30.8,31.01,30.99,0.02,0.0645,5441.9,16837.283
226,002859.SZ,20190517,30.97,31.08,29.7,30.5,31.01,-0.51,-1.6446,9765.07,29611.439
225,002859.SZ,20190520,30.46,30.46,29.53,30.2,30.5,-0.3,-0.9836,8555.62,25549.19
224,002859.SZ,20190521,29.75,30.37,29.75,30.3,30.2,0.1,0.3311,7043.62,21307.729
223,002859.SZ,20190522,30.28,30.34,29.61,29.95,30.3,-0.35,-1.1551,6677.5,19964.524
222,002859.SZ,20190523,29.98,29.98,28.58,29.36,29.95,-0.59,-1.9699,13298.5,38758.862
221,002859.SZ,20190524,29.19,29.54,28.85,29.24,29.36,-0.12,-0.4087,9327.2,27148.13
220,002859.SZ,20190527,29.24,29.69,29.06,29.56,29.24,0.32,1.0944,16219.43,47749.278
219,002859.SZ,20190528,29.8,29.8,29.35,29.35,29.56,-0.21,-0.7104,5261.43,15519.903
218,002859.SZ,20190529,29.36,29.91,29.27,29.65,29.35,0.3,1.0221,10392.5,30838.637
217,002859.SZ,20190530,29.48,29.65,29.11,29.36,29.65,-0.29,-0.9781,5852.5,17131.979
216,002859.SZ,20190531,29.36,29.53,29.16,29.38,29.36,0.02,0.0681,4649.73,13633.761
215,002859.SZ,20190603,29.46,29.46,28.9,29.03,29.38,-0.35,-1.1913,5592.4,16249.978
214,002859.SZ,20190604,29.03,29.18,28.4,28.85,29.03,-0.18,-0.62,6185.2,17747.077
213,002859.SZ,20190605,29.08,29.1,27.78,28.0,28.85,-0.85,-2.9463,12131.5,34277.78
212,002859.SZ,20190606,27.98,27.98,25.55,25.75,28.0,-2.25,-8.0357,25041.99,66175.222
211,002859.SZ,20190610,25.73,26.24,25.58,25.7,25.75,-0.05,-0.1942,12535.5,32358.651
210,002859.SZ,20190611,25.56,26.38,25.55,26.38,25.7,0.68,2.6459,18125.3,47209.353
209,002859.SZ,20190612,26.33,26.53,25.91,26.13,26.38,-0.25,-0.9477,10600.17,27822.525
208,002859.SZ,20190613,26.18,26.2,25.98,26.1,26.13,-0.03,-0.1148,6414.6,16748.252
207,002859.SZ,20190614,26.1,26.39,25.56,25.98,26.1,-0.12,-0.4598,7888.7,20406.638
206,002859.SZ,20190617,25.99,25.99,25.48,25.5,25.98,-0.48,-1.8476,8645.2,22160.94
205,002859.SZ,20190618,25.5,25.72,25.47,25.55,25.5,0.05,0.1961,5514.9,14083.363
204,002859.SZ,20190619,26.01,26.35,25.78,25.96,25.55,0.41,1.6047,16138.6,42233.093
203,002859.SZ,20190620,26.0,26.77,25.78,26.69,25.96,0.73,2.812,22349.63,58891.955
202,002859.SZ,20190621,26.69,27.09,26.59,26.66,26.69,-0.03,-0.1124,16279.0,43552.922
201,002859.SZ,20190624,26.66,26.85,26.4,26.64,26.66,-0.02,-0.075,7818.77,20802.953
200,002859.SZ,20190625,26.64,26.64,25.6,26.08,26.64,-0.56,-2.1021,10025.64,26127.414
199,002859.SZ,20190626,26.13,26.39,25.9,26.1,26.08,0.02,0.0767,6981.6,18257.465
198,002859.SZ,20190627,26.1,26.6,26.1,26.6,26.1,0.5,1.9157,17166.0,45395.62
197,002859.SZ,20190628,26.59,26.59,25.88,26.3,26.6,-0.3,-1.1278,6832.0,17870.168
196,002859.SZ,20190701,26.98,27.07,26.6,26.83,26.3,0.53,2.0152,15239.0,40901.593
195,002859.SZ,20190702,26.86,27.48,26.83,27.09,26.83,0.26,0.9691,13795.68,37358.609
194,002859.SZ,20190703,27.09,27.12,26.51,26.78,27.09,-0.31,-1.1443,10638.69,28424.192
193,002859.SZ,20190704,26.8,26.85,26.35,26.68,26.78,-0.1,-0.3734,7037.47,18697.405
192,002859.SZ,20190705,26.41,26.85,26.41,26.68,26.68,0.0,0.0,4567.61,12181.737
191,002859.SZ,20190708,26.6,26.6,25.67,25.8,26.68,-0.88,-3.2984,10185.5,26419.871
190,002859.SZ,20190709,25.47,26.5,25.44,26.22,25.8,0.42,1.6279,14172.51,36789.432
189,002859.SZ,20190710,26.17,26.31,25.5,25.75,26.22,-0.47,-1.7925,10880.18,28211.371
188,002859.SZ,20190711,25.8,25.88,25.15,25.39,25.75,-0.36,-1.3981,8227.92,20979.559
187,002859.SZ,20190712,25.55,25.55,24.71,25.2,25.39,-0.19,-0.7483,13925.69,34758.77
186,002859.SZ,20190715,24.88,25.18,24.48,24.91,25.2,-0.29,-1.1508,9719.59,24065.069
185,002859.SZ,20190716,24.84,25.29,24.8,25.04,24.91,0.13,0.5219,9490.85,23727.029
184,002859.SZ,20190717,25.04,25.73,24.84,25.72,25.04,0.68,2.7157,16846.9,42934.932
183,002859.SZ,20190718,25.5,25.5,24.93,25.12,25.72,-0.6,-2.3328,11260.87,28328.079
182,002859.SZ,20190719,25.12,25.31,24.85,24.96,25.12,-0.16,-0.6369,6257.94,15686.265
181,002859.SZ,20190722,25.0,25.1,24.0,24.31,24.96,-0.65,-2.6042,10027.5,24394.76
180,002859.SZ,20190723,24.07,24.6,24.07,24.58,24.31,0.27,1.1107,5786.54,14175.904
179,002859.SZ,20190724,24.77,25.29,24.61,25.15,24.58,0.57,2.319,9827.85,24678.736
178,002859.SZ,20190725,25.15,26.75,25.11,26.47,25.15,1.32,5.2485,33572.5,87700.624
177,002859.SZ,20190726,26.26,29.1,26.1,28.05,26.47,1.58,5.969,54872.56,152147.788
176,002859.SZ,20190729,28.05,28.95,27.62,28.66,28.05,0.61,2.1747,31883.06,90331.01
175,002859.SZ,20190730,28.4,29.27,28.1,28.37,28.66,-0.29,-1.0119,24407.32,69756.042
174,002859.SZ,20190731,28.37,28.73,28.07,28.56,28.37,0.19,0.6697,15937.24,45337.889
173,002859.SZ,20190801,28.32,28.67,28.07,28.37,28.56,-0.19,-0.6653,14259.05,40368.45
172,002859.SZ,20190802,27.55,28.5,27.55,28.35,28.37,-0.02,-0.0705,15480.64,43468.768
171,002859.SZ,20190805,28.2,28.66,27.68,27.98,28.35,-0.37,-1.3051,15187.5,42634.043
170,002859.SZ,20190806,27.5,27.58,26.79,27.31,27.98,-0.67,-2.3946,26606.22,72437.584
169,002859.SZ,20190807,27.49,27.9,27.32,27.45,27.31,0.14,0.5126,14080.25,38855.859
168,002859.SZ,20190808,27.45,27.85,27.0,27.4,27.45,-0.05,-0.1821,14073.54,38682.136
167,002859.SZ,20190809,27.8,29.38,27.61,28.62,27.4,1.22,4.4526,27124.24,77808.88
166,002859.SZ,20190812,28.82,29.19,28.16,29.13,28.62,0.51,1.782,21903.83,63067.689
165,002859.SZ,20190813,28.98,29.58,28.69,29.0,29.13,-0.13,-0.4463,17913.19,52119.218
164,002859.SZ,20190814,29.3,30.2,29.25,30.11,29.0,1.11,3.8276,26662.87,79547.769
163,002859.SZ,20190815,29.33,30.53,29.0,30.32,30.11,0.21,0.6974,26734.3,79599.771
162,002859.SZ,20190816,30.32,30.7,29.6,29.85,30.32,-0.47,-1.5501,21334.06,64099.497
161,002859.SZ,20190819,30.02,30.3,29.02,29.83,29.85,-0.02,-0.067,21139.15,62888.18
160,002859.SZ,20190820,29.97,30.0,29.42,29.62,29.83,-0.21,-0.704,21969.06,65210.854
159,002859.SZ,20190821,30.1,32.58,30.1,32.35,29.62,2.73,9.2167,59984.04,189101.572
158,002859.SZ,20190822,32.0,33.59,31.82,32.38,32.35,0.03,0.0927,56315.38,183908.569
157,002859.SZ,20190823,32.46,33.57,32.05,33.18,32.38,0.8,2.4707,32373.14,106382.338
156,002859.SZ,20190826,32.37,33.02,31.5,32.11,33.18,-1.07,-3.2248,30614.95,98843.784
155,002859.SZ,20190827,32.16,32.55,31.71,31.9,32.11,-0.21,-0.654,21855.39,70069.086
154,002859.SZ,20190828,31.85,33.43,31.55,32.75,31.9,0.85,2.6646,30045.63,98732.62
153,002859.SZ,20190829,32.75,33.16,32.25,32.3,32.75,-0.45,-1.374,14941.5,48633.292
152,002859.SZ,20190830,32.29,32.6,31.51,31.7,32.3,-0.6,-1.8576,15418.39,49269.771
151,002859.SZ,20190902,32.0,32.19,31.41,32.09,31.7,0.39,1.2303,10292.32,32821.337
150,002859.SZ,20190903,32.1,32.95,31.68,32.8,32.09,0.71,2.2125,15201.76,49359.061
149,002859.SZ,20190904,32.97,32.97,31.23,31.5,32.8,-1.3,-3.9634,31877.35,101351.242
148,002859.SZ,20190905,32.29,33.5,31.9,33.12,31.5,1.62,5.1429,40735.14,134660.524
147,002859.SZ,20190906,32.88,33.88,32.52,33.55,33.12,0.43,1.2983,35813.06,118958.753
146,002859.SZ,20190909,33.79,35.01,33.55,34.8,33.55,1.25,3.7258,37837.38,130201.361
145,002859.SZ,20190910,34.99,34.99,34.1,34.7,34.8,-0.1,-0.2874,17080.88,58847.503
144,002859.SZ,20190911,34.93,35.27,34.42,34.81,34.7,0.11,0.317,14939.28,52036.479
143,002859.SZ,20190912,34.75,34.98,34.26,34.8,34.81,-0.01,-0.0287,11373.99,39473.344
142,002859.SZ,20190916,34.99,35.46,34.09,34.36,34.8,-0.44,-1.2644,21351.2,73554.125
141,002859.SZ,20190917,34.3,34.3,32.98,33.67,34.36,-0.69,-2.0081,27345.85,91719.401
140,002859.SZ,20190918,33.67,33.97,32.71,32.85,33.67,-0.82,-2.4354,25448.52,84262.744
139,002859.SZ,20190919,33.51,33.95,32.7,33.43,32.85,0.58,1.7656,24322.19,80925.947
138,002859.SZ,20190920,33.28,34.18,33.08,33.47,33.43,0.04,0.1197,24218.95,81305.225
137,002859.SZ,20190923,33.14,33.67,32.74,33.24,33.47,-0.23,-0.6872,20387.9,67546.284
136,002859.SZ,20190924,33.2,34.5,33.03,33.88,33.24,0.64,1.9254,33148.04,112549.595
135,002859.SZ,20190925,33.8,33.9,32.22,32.58,33.88,-1.3,-3.8371,33519.66,109947.122
134,002859.SZ,20190926,32.21,32.93,31.7,32.04,32.58,-0.54,-1.6575,19607.71,63073.603
133,002859.SZ,20190927,31.83,34.19,31.83,34.0,32.04,1.96,6.1174,31198.2,104953.749
132,002859.SZ,20190930,33.98,34.14,33.3,33.59,33.88,-0.29,-0.856,18392.9,61981.558
131,002859.SZ,20191008,33.32,34.0,32.18,33.1,33.59,-0.49,-1.4588,17864.5,58839.989
130,002859.SZ,20191009,32.77,32.77,31.6,31.95,33.1,-1.15,-3.4743,13604.36,43479.743
129,002859.SZ,20191010,31.95,32.75,31.82,32.58,31.95,0.63,1.9718,9296.1,29967.815
128,002859.SZ,20191011,32.58,33.96,31.85,33.9,32.58,1.32,4.0516,21780.1,72832.911
127,002859.SZ,20191014,34.0,34.09,33.6,33.88,33.9,-0.02,-0.059,17039.6,57699.448
126,002859.SZ,20191015,33.85,33.88,31.03,31.89,33.88,-1.99,-5.8737,28316.9,90760.371
125,002859.SZ,20191016,31.38,32.29,31.34,31.85,31.89,-0.04,-0.1254,19077.62,60567.176
124,002859.SZ,20191017,31.7,31.7,30.3,30.5,31.85,-1.35,-4.2386,20965.5,64731.285
123,002859.SZ,20191018,30.68,30.96,29.85,29.9,30.5,-0.6,-1.9672,11578.26,35030.872
122,002859.SZ,20191021,29.9,30.39,29.1,30.09,29.9,0.19,0.6355,11863.0,35566.939
121,002859.SZ,20191022,29.8,30.83,29.8,30.66,30.09,0.57,1.8943,7687.35,23426.41
120,002859.SZ,20191023,30.66,31.16,30.21,30.6,30.66,-0.06,-0.1957,8613.0,26384.371
119,002859.SZ,20191024,30.6,30.6,29.66,29.9,30.6,-0.7,-2.2876,7321.01,21900.884
118,002859.SZ,20191025,30.26,30.87,29.8,30.75,29.9,0.85,2.8428,9868.5,29997.99
117,002859.SZ,20191028,30.6,31.06,30.44,30.81,30.75,0.06,0.1951,10649.76,32727.437
116,002859.SZ,20191029,30.65,30.92,30.48,30.64,30.81,-0.17,-0.5518,9686.85,29752.764
115,002859.SZ,20191030,30.63,30.85,30.2,30.67,30.64,0.03,0.0979,5760.15,17595.91
114,002859.SZ,20191031,30.46,30.84,30.23,30.36,30.67,-0.31,-1.0108,5342.0,16293.604
113,002859.SZ,20191101,30.36,30.87,30.22,30.85,30.36,0.49,1.614,6310.01,19379.332
112,002859.SZ,20191104,30.98,31.37,30.77,31.27,30.85,0.42,1.3614,7663.05,23842.82
111,002859.SZ,20191105,31.3,31.82,30.8,31.62,31.27,0.35,1.1193,9718.41,30569.044
110,002859.SZ,20191106,31.6,31.9,31.03,31.61,31.62,-0.01,-0.0316,6720.02,21221.716
109,002859.SZ,20191107,31.5,31.85,31.33,31.59,31.61,-0.02,-0.0633,7394.51,23365.512
108,002859.SZ,20191108,31.98,32.45,31.6,32.4,31.59,0.81,2.5641,12419.07,39852.593
107,002859.SZ,20191111,32.26,32.7,31.2,31.98,32.4,-0.42,-1.2963,9948.0,31869.079
106,002859.SZ,20191112,32.0,32.8,31.6,32.5,31.98,0.52,1.626,10159.7,32774.294
105,002859.SZ,20191113,32.63,32.73,32.1,32.25,32.5,-0.25,-0.7692,6167.1,19925.362
104,002859.SZ,20191114,32.3,32.3,31.01,31.86,32.25,-0.39,-1.2093,8624.5,27240.133
103,002859.SZ,20191115,31.67,31.87,30.72,30.72,31.86,-1.14,-3.5782,12764.0,39764.471
102,002859.SZ,20191118,30.6,31.45,30.35,30.78,30.72,0.06,0.1953,7026.2,21681.933
101,002859.SZ,20191119,30.78,31.18,30.61,31.09,30.78,0.31,1.0071,10325.6,31966.489
100,002859.SZ,20191120,31.2,31.2,29.7,30.06,31.09,-1.03,-3.313,25791.5,77843.598
99,002859.SZ,20191121,30.06,30.38,29.7,30.1,30.06,0.04,0.1331,12228.1,36766.5
98,002859.SZ,20191122,30.1,30.56,29.38,29.75,30.1,-0.35,-1.1628,10290.1,30710.77
97,002859.SZ,20191125,29.75,29.78,28.88,29.41,29.75,-0.34,-1.1429,7131.5,20927.859
96,002859.SZ,20191126,29.51,29.96,29.28,29.81,29.41,0.4,1.3601,7249.5,21492.094
95,002859.SZ,20191127,29.71,30.46,29.35,30.29,29.81,0.48,1.6102,7666.6,23107.84
94,002859.SZ,20191128,30.29,30.45,29.52,29.82,30.29,-0.47,-1.5517,6155.17,18398.666
93,002859.SZ,20191129,30.03,30.03,29.57,29.81,29.82,-0.01,-0.0335,6094.1,18124.343
92,002859.SZ,20191202,30.04,31.38,29.88,31.12,29.81,1.31,4.3945,17664.91,54627.686
91,002859.SZ,20191203,30.94,31.66,30.82,31.59,31.12,0.47,1.5103,13340.91,41841.397
90,002859.SZ,20191204,31.56,32.36,31.18,32.0,31.59,0.41,1.2979,22337.08,71313.544
89,002859.SZ,20191205,31.95,32.49,31.82,32.25,32.0,0.25,0.7813,13534.99,43632.367
