,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
315,603032.SH,20190102,28.8,30.5,28.5,29.67,28.78,0.89,3.0924,143706.65,425014.005
314,603032.SH,20190103,28.7,29.06,26.7,26.71,29.67,-2.96,-9.9764,150872.86,414859.737
313,603032.SH,20190104,25.88,27.5,25.01,27.17,26.71,0.46,1.7222,96607.0,257819.905
312,603032.SH,20190107,26.91,27.6,26.91,27.32,27.17,0.15,0.5521,95126.99,258762.887
311,603032.SH,20190108,27.38,28.36,26.81,27.33,27.32,0.01,0.0366,109346.76,302183.032
310,603032.SH,20190109,26.92,28.33,26.92,27.62,27.33,0.29,1.0611,119832.49,330097.979
309,603032.SH,20190110,27.4,27.48,26.8,26.84,27.62,-0.78,-2.824,81849.77,221889.345
308,603032.SH,20190111,26.5,27.07,26.31,26.57,26.84,-0.27,-1.006,68363.6,182051.974
307,603032.SH,20190114,26.8,26.82,26.09,26.33,26.57,-0.24,-0.9033,51585.1,136451.529
306,603032.SH,20190115,26.06,26.58,26.06,26.41,26.33,0.08,0.3038,47316.79,124516.645
305,603032.SH,20190116,26.68,29.05,26.51,29.05,26.41,2.64,9.9962,239617.22,678036.924
304,603032.SH,20190117,28.1,28.28,27.17,27.21,29.05,-1.84,-6.3339,172754.3,475248.76
303,603032.SH,20190118,27.21,27.21,26.1,26.38,27.21,-0.83,-3.0503,101272.98,268324.315
302,603032.SH,20190121,26.25,27.17,26.25,26.79,26.38,0.41,1.5542,72606.8,193793.786
301,603032.SH,20190122,26.8,26.89,26.3,26.44,26.79,-0.35,-1.3065,52686.4,139195.439
300,603032.SH,20190123,26.3,26.67,26.29,26.56,26.44,0.12,0.4539,45206.02,119757.584
299,603032.SH,20190124,26.5,26.51,25.63,25.91,26.56,-0.65,-2.4473,63478.0,164736.765
298,603032.SH,20190125,25.83,26.18,25.08,25.3,25.91,-0.61,-2.3543,52970.8,135580.772
