,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
636,603186.SH,20180102,24.1,24.17,23.65,23.98,23.94,0.04,0.17,7766.0,18616.908
635,603186.SH,20180103,24.25,24.8,24.07,24.41,23.98,0.43,1.79,13197.0,32290.819
634,603186.SH,20180104,24.29,24.48,24.15,24.35,24.41,-0.06,-0.25,7384.44,17937.813
633,603186.SH,20180105,24.33,26.38,24.21,25.48,24.35,1.13,4.64,23580.78,60134.302
632,603186.SH,20180108,25.65,27.88,25.5,27.65,25.48,2.17,8.52,43162.94,116718.163
631,603186.SH,20180109,27.58,28.78,26.9,27.74,27.65,0.09,0.33,47122.56,130750.033
630,603186.SH,20180110,27.3,27.74,26.59,26.92,27.74,-0.82,-2.96,22279.34,60165.938
629,603186.SH,20180111,26.6,27.87,26.6,26.97,26.92,0.05,0.19,18872.16,51594.59
628,603186.SH,20180112,26.98,26.99,26.24,26.28,26.97,-0.69,-2.56,13430.0,35643.034
627,603186.SH,20180115,25.6,25.85,24.11,24.6,26.28,-1.68,-6.39,16868.0,42350.379
626,603186.SH,20180116,24.55,24.98,24.4,24.75,24.6,0.15,0.61,8626.74,21345.343
625,603186.SH,20180117,24.72,26.0,24.4,25.43,24.75,0.68,2.75,12787.03,32231.041
624,603186.SH,20180118,25.25,25.75,25.0,25.28,25.43,-0.15,-0.59,7969.0,20130.329
623,603186.SH,20180119,25.24,25.44,24.72,24.77,25.28,-0.51,-2.02,9137.0,22888.919
622,603186.SH,20180122,24.56,24.98,24.05,24.73,24.77,-0.04,-0.16,8828.0,21636.177
621,603186.SH,20180123,24.62,25.09,24.55,24.76,24.73,0.03,0.12,6328.2,15667.726
620,603186.SH,20180124,24.5,25.18,24.5,25.13,24.76,0.37,1.49,8629.0,21527.422
619,603186.SH,20180125,25.19,25.45,24.92,25.23,25.13,0.1,0.4,8350.0,21083.874
618,603186.SH,20180126,25.16,25.26,24.51,24.88,25.23,-0.35,-1.39,6871.42,17134.019
617,603186.SH,20180129,24.92,24.98,24.2,24.36,24.88,-0.52,-2.09,5354.0,13081.18
616,603186.SH,20180130,24.37,24.65,23.98,24.1,24.36,-0.26,-1.07,5246.7,12717.137
615,603186.SH,20180131,23.99,24.23,23.37,23.73,24.1,-0.37,-1.54,7288.58,17324.872
614,603186.SH,20180201,23.83,23.93,22.48,22.7,23.73,-1.03,-4.34,10466.88,24091.014
613,603186.SH,20180202,22.64,22.64,21.15,21.49,22.7,-1.21,-5.33,9698.81,21151.856
612,603186.SH,20180205,20.89,20.99,19.98,20.0,21.49,-1.49,-6.93,8207.97,16847.622
611,603186.SH,20180206,19.21,19.9,18.5,18.58,20.0,-1.42,-7.1,11179.7,21428.683
610,603186.SH,20180207,19.0,19.48,18.36,18.92,18.58,0.34,1.83,8140.45,15432.171
609,603186.SH,20180208,18.5,19.33,18.5,19.23,18.92,0.31,1.64,5660.04,10864.046
608,603186.SH,20180209,18.87,19.09,18.28,18.32,19.23,-0.91,-4.73,7789.0,14523.072
607,603186.SH,20180212,18.21,18.82,18.1,18.76,18.32,0.44,2.4,10119.37,18723.242
606,603186.SH,20180213,18.68,18.8,18.21,18.26,18.76,-0.5,-2.67,7716.0,14263.679
605,603186.SH,20180214,18.27,18.58,18.1,18.28,18.26,0.02,0.11,5513.0,10115.632
604,603186.SH,20180222,18.71,20.11,18.71,20.11,18.28,1.83,10.01,7502.7,14778.833
603,603186.SH,20180223,20.96,22.12,20.96,21.79,20.11,1.68,8.35,45330.98,98763.076
602,603186.SH,20180226,21.0,22.79,21.0,22.13,21.79,0.34,1.56,44911.89,98149.587
601,603186.SH,20180227,21.74,22.95,21.62,22.4,22.13,0.27,1.22,30526.38,67883.984
600,603186.SH,20180228,21.9,22.23,21.66,22.21,22.4,-0.19,-0.85,18199.39,40036.322
599,603186.SH,20180301,22.04,22.66,21.78,22.64,22.21,0.43,1.94,21024.87,46800.806
598,603186.SH,20180302,22.41,22.94,21.91,21.99,22.64,-0.65,-2.87,15909.0,35552.651
597,603186.SH,20180305,22.26,22.45,21.83,22.42,21.99,0.43,1.96,11396.04,25285.228
596,603186.SH,20180306,22.41,22.7,22.18,22.37,22.42,-0.05,-0.22,15130.28,33891.818
595,603186.SH,20180307,22.4,22.75,22.22,22.42,22.37,0.05,0.22,13322.0,29909.773
594,603186.SH,20180308,22.35,22.35,21.85,22.14,22.42,-0.28,-1.25,14893.68,32833.571
593,603186.SH,20180309,22.3,23.18,21.98,23.13,22.14,0.99,4.47,30791.74,69604.712
592,603186.SH,20180312,23.23,24.55,23.2,24.39,23.13,1.26,5.45,33154.42,80004.787
591,603186.SH,20180313,24.11,24.48,23.75,24.02,24.39,-0.37,-1.52,17538.06,42039.643
590,603186.SH,20180314,24.0,24.65,23.52,23.55,24.02,-0.47,-1.96,14377.0,34659.755
589,603186.SH,20180315,23.46,23.69,21.83,22.71,23.55,-0.84,-3.57,19910.72,44792.243
588,603186.SH,20180316,22.55,23.49,22.41,22.85,22.71,0.14,0.62,9651.56,22101.426
587,603186.SH,20180319,22.38,23.12,22.38,23.06,22.85,0.21,0.92,7381.66,16856.25
586,603186.SH,20180320,22.9,23.3,22.53,23.14,23.06,0.08,0.35,9436.61,21629.993
585,603186.SH,20180321,23.36,24.8,23.05,24.2,23.14,1.06,4.58,38469.56,93279.59
584,603186.SH,20180322,24.03,24.21,23.58,23.89,24.2,-0.31,-1.28,17153.88,40928.107
583,603186.SH,20180323,22.56,23.33,21.5,21.67,23.89,-2.22,-9.29,18384.18,40800.714
582,603186.SH,20180326,21.5,23.84,21.38,22.77,21.67,1.1,5.08,11603.44,26275.757
581,603186.SH,20180327,22.77,24.01,22.77,23.95,22.77,1.18,5.18,17857.66,42171.019
580,603186.SH,20180328,23.44,26.34,23.4,25.88,23.95,1.93,8.06,47286.59,118612.821
579,603186.SH,20180329,25.55,25.62,24.85,25.59,25.88,-0.29,-1.12,31326.42,78990.496
578,603186.SH,20180330,24.87,25.38,24.87,25.25,25.59,-0.34,-1.33,29889.37,75060.62
577,603186.SH,20180402,25.13,25.68,25.08,25.24,25.25,-0.01,-0.04,23423.59,59339.846
576,603186.SH,20180403,24.9,24.9,24.32,24.46,25.24,-0.78,-3.09,18125.61,44563.957
575,603186.SH,20180404,24.7,24.73,23.53,23.56,24.46,-0.9,-3.68,21772.0,52588.436
574,603186.SH,20180409,23.55,24.15,23.39,23.99,23.56,0.43,1.83,15149.87,36153.372
573,603186.SH,20180410,23.91,24.4,23.15,23.48,23.99,-0.51,-2.13,14590.79,34297.908
572,603186.SH,20180411,23.61,24.53,23.61,24.44,23.48,0.96,4.09,22889.7,55468.893
571,603186.SH,20180412,24.44,24.5,23.8,23.86,24.44,-0.58,-2.37,17168.79,41343.627
570,603186.SH,20180413,24.0,24.24,23.56,23.94,23.86,0.08,0.34,12990.04,31070.134
569,603186.SH,20180416,23.4,23.4,22.46,22.83,23.94,-1.11,-4.64,17599.62,40342.097
