,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2433,000070.SZ,20100104,3.9746,4.0719,3.9381,4.0516,3.9746,0.07699999999999951,1.9373,46940.09,46434.0238
2432,000070.SZ,20100105,4.0354,4.2422,4.0232,4.1774,4.0516,0.1257999999999999,3.1049,78342.83,80182.0458
2431,000070.SZ,20100106,4.1692,4.1855,4.1165,4.1165,4.1774,-0.06089999999999929,-1.4578,47604.62,48660.0821
2430,000070.SZ,20100107,4.1165,4.2098,4.0192,4.0597,4.1165,-0.05679999999999996,-1.3798,62377.94,63785.7834
2429,000070.SZ,20100108,4.0151,4.1774,3.9746,4.1774,4.0597,0.11769999999999925,2.8992,59732.18,60565.744
2428,000070.SZ,20100111,4.1692,4.3396,4.1409,4.2747,4.1774,0.09730000000000061,2.3292,83836.73,88319.2594
2427,000070.SZ,20100112,4.2909,4.4531,4.2382,4.3761,4.2747,0.10139999999999993,2.3721,86156.95,92975.7839
2426,000070.SZ,20100113,4.295,4.6073,4.2504,4.5261,4.3761,0.14999999999999947,3.4277,132051.19,144996.4971
2425,000070.SZ,20100114,4.587,4.9033,4.5829,4.8263,4.5261,0.30020000000000024,6.6326,166588.76,195763.8179
2424,000070.SZ,20100115,4.8182,4.8182,4.6113,4.66,4.8263,-0.16629999999999967,-3.4457,103069.96,118820.6019
2423,000070.SZ,20100118,4.66,4.7046,4.5626,4.6438,4.66,-0.016200000000000436,-0.3476,69721.09,79549.8878
2422,000070.SZ,20100119,4.6438,4.6438,4.514,4.5424,4.6438,-0.10139999999999993,-2.1836,60399.76,67958.0738
2421,000070.SZ,20100120,4.5991,4.6356,4.2706,4.295,4.5424,-0.24739999999999984,-5.4465,80280.9,88719.4151
2420,000070.SZ,20100121,4.3031,4.3639,4.1895,4.3274,4.295,0.032399999999999984,0.7544,48128.77,50810.7978
2419,000070.SZ,20100122,4.2382,4.2787,4.0557,4.1611,4.3274,-0.16629999999999967,-3.843,40789.56,41930.8358
2418,000070.SZ,20100125,4.0962,4.2544,4.076,4.1692,4.1611,0.008099999999999774,0.1947,24125.79,24902.331
2417,000070.SZ,20100126,4.1692,4.2422,4.0111,4.0354,4.1692,-0.13379999999999992,-3.2092,28724.07,29079.2882
2416,000070.SZ,20100127,3.9867,4.153,3.9786,4.0557,4.0354,0.020299999999999763,0.503,29285.88,29472.0047
2415,000070.SZ,20100128,4.0557,4.1409,4.0151,4.1165,4.0557,0.06080000000000041,1.4991,22821.68,23085.4579
2414,000070.SZ,20100129,4.1003,4.2787,4.0638,4.1814,4.1165,0.06489999999999974,1.5766,29210.81,30218.5391
2413,000070.SZ,20100201,4.1409,4.1774,3.8975,4.0151,4.1814,-0.16629999999999967,-3.9771,33238.31,32915.8471
2412,000070.SZ,20100202,4.0395,4.2787,3.6907,4.1287,4.0151,0.11359999999999992,2.8293,51289.17,52297.3206
2411,000070.SZ,20100203,4.0962,4.2585,4.0354,4.2544,4.1287,0.12570000000000014,3.0445,63805.34,66129.4314
2410,000070.SZ,20100204,4.2179,4.4531,4.1571,4.3031,4.2544,0.0486999999999993,1.1447,63672.07,68309.4157
2409,000070.SZ,20100205,4.1814,4.4126,4.1571,4.2139,4.3031,-0.08919999999999995,-2.0729,53099.52,55873.8832
2408,000070.SZ,20100208,4.2504,4.2747,4.0476,4.1003,4.2139,-0.11359999999999992,-2.6958,33801.23,34492.1575
2407,000070.SZ,20100209,4.0881,4.149,4.0192,4.0516,4.1003,-0.04870000000000019,-1.1877,23161.16,23305.4651
2406,000070.SZ,20100210,4.08,4.2787,4.08,4.1449,4.0516,0.09330000000000016,2.3028,16953.95,17286.3059
2405,000070.SZ,20100211,4.1327,4.1449,4.0476,4.0557,4.1449,-0.08919999999999995,-2.152,20877.34,21022.4954
2404,000070.SZ,20100212,4.0638,4.1044,4.0476,4.1003,4.0557,0.04459999999999997,1.0997,16718.27,16795.868
2403,000070.SZ,20100222,4.076,4.153,4.0638,4.1165,4.1003,0.016200000000000436,0.3951,16460.38,16714.5867
2402,000070.SZ,20100223,4.0962,4.2585,4.0557,4.2382,4.1165,0.1216999999999997,2.9564,34235.24,35038.7686
2401,000070.SZ,20100224,4.2057,4.3964,4.1814,4.3842,4.2382,0.1459999999999999,3.4449,52325.1,55778.8645
2400,000070.SZ,20100225,4.441,4.441,4.3396,4.3882,4.3842,0.004000000000000448,0.0912,50982.86,55114.1718
2399,000070.SZ,20100226,4.372,4.4329,4.3599,4.368,4.3882,-0.020199999999999996,-0.4603,38277.51,41510.4163
2398,000070.SZ,20100301,4.368,4.5261,4.3599,4.5221,4.368,0.15409999999999968,3.5279,49403.13,54235.3586
2397,000070.SZ,20100302,4.5221,4.5505,4.4329,4.518,4.5221,-0.004100000000000215,-0.0907,51277.95,56883.1928
2396,000070.SZ,20100303,4.5261,4.5829,4.441,4.5708,4.518,0.0528000000000004,1.1687,60020.52,66844.2025
2395,000070.SZ,20100304,4.5424,4.7451,4.299,4.3436,4.5708,-0.22719999999999985,-4.9707,80525.29,90294.9777
2394,000070.SZ,20100305,4.3031,4.3923,4.2625,4.3152,4.3436,-0.028400000000000425,-0.6538,33414.75,35694.2344
2393,000070.SZ,20100308,4.3436,4.3882,4.295,4.368,4.3152,0.0528000000000004,1.2236,20089.76,21593.9127
2392,000070.SZ,20100309,4.372,4.3882,4.2382,4.3274,4.368,-0.040600000000000414,-0.9295,22077.58,23473.5436
2391,000070.SZ,20100310,4.3152,4.3964,4.2504,4.2666,4.3274,-0.06079999999999952,-1.405,21016.81,22320.6229
2390,000070.SZ,20100311,4.2585,4.3193,4.2098,4.2666,4.2666,0.0,0.0,19160.3,20168.6404
2389,000070.SZ,20100312,4.222,4.2828,4.1368,4.1409,4.2666,-0.12570000000000014,-2.9461,17299.44,17998.1639
2388,000070.SZ,20100315,4.1287,4.1287,4.0354,4.0435,4.1409,-0.09740000000000038,-2.3521,23212.16,23262.5573
2387,000070.SZ,20100316,4.0435,4.1246,4.0435,4.1206,4.0435,0.07709999999999972,1.9068,14496.42,14616.7322
2386,000070.SZ,20100317,4.1206,4.2747,4.1206,4.2544,4.1206,0.1338000000000008,3.2471,24455.56,25393.7134
2385,000070.SZ,20100318,4.3801,4.6803,4.372,4.5059,4.2544,0.25149999999999917,5.9115,185366.71,210512.2734
2384,000070.SZ,20100319,4.4572,4.6032,4.3436,4.5383,4.5059,0.032399999999999984,0.7191,113864.19,125764.5761
2383,000070.SZ,20100322,4.5424,4.6519,4.4815,4.6235,4.5383,0.08520000000000039,1.8774,81201.64,91853.9729
2382,000070.SZ,20100323,4.6154,4.6194,4.4734,4.4896,4.6235,-0.13389999999999969,-2.8961,50637.81,56537.5308
2381,000070.SZ,20100324,4.5018,4.514,4.4045,4.4329,4.4896,-0.056700000000000195,-1.2629,45550.34,50042.3346
2380,000070.SZ,20100325,4.4207,4.4937,4.3801,4.4369,4.4329,0.0039999999999995595,0.0902,38154.4,41830.6648
2379,000070.SZ,20100326,4.4369,4.5991,4.4288,4.5789,4.4369,0.14200000000000035,3.2004,62540.32,70099.2257
2378,000070.SZ,20100329,4.5829,4.6154,4.4734,4.5343,4.5789,-0.04459999999999997,-0.974,43028.75,48042.2176
2377,000070.SZ,20100330,4.5261,4.6681,4.5018,4.6681,4.5343,0.13379999999999992,2.9508,60540.94,68724.6041
2376,000070.SZ,20100331,4.6559,4.7168,4.5991,4.6235,4.6681,-0.04459999999999997,-0.9554,65730.97,75320.0039
2375,000070.SZ,20100401,4.6519,4.6843,4.6032,4.6316,4.6235,0.008099999999999774,0.1752,59460.92,68007.2366
2374,000070.SZ,20100402,4.6316,4.6762,4.5626,4.6032,4.6316,-0.028399999999999537,-0.6132,51979.73,59111.9804
2373,000070.SZ,20100406,4.6032,4.664,4.5789,4.66,4.6032,0.05679999999999996,1.2339,45054.51,51322.2379
2372,000070.SZ,20100407,4.664,4.7046,4.5708,4.6032,4.66,-0.05679999999999996,-1.2189,48706.57,55651.8306
2371,000070.SZ,20100408,4.5951,4.5991,4.5099,4.5099,4.6032,-0.09330000000000016,-2.0269,38858.79,43582.0614
2370,000070.SZ,20100409,4.5343,4.7127,4.5343,4.7005,4.5099,0.19059999999999988,4.2263,82595.71,94737.295
2369,000070.SZ,20100412,4.7249,4.8912,4.6803,4.8587,4.7005,0.1581999999999999,3.3656,114968.39,136671.7566
2368,000070.SZ,20100413,4.8263,4.8952,4.5424,4.6721,4.8587,-0.18659999999999943,-3.8405,86720.62,100665.5486
2367,000070.SZ,20100414,4.6721,4.8019,4.6275,4.7857,4.6721,0.11359999999999992,2.4315,54834.8,64125.0791
2366,000070.SZ,20100415,4.8182,4.8425,4.5951,4.6559,4.7857,-0.12980000000000036,-2.7122,49837.46,58048.9476
2365,000070.SZ,20100416,4.6194,4.66,4.5221,4.5789,4.6559,-0.07699999999999996,-1.6538,33459.05,37850.3826
2364,000070.SZ,20100419,4.5343,4.6235,4.3801,4.3882,4.5789,-0.19069999999999965,-4.1648,39985.47,44425.0899
2363,000070.SZ,20100420,4.3923,4.4613,4.2869,4.4572,4.3882,0.06899999999999995,1.5724,34278.78,37170.4112
2362,000070.SZ,20100421,4.4572,4.6438,4.3842,4.6235,4.4572,0.16629999999999967,3.731,48932.07,55160.3018
2361,000070.SZ,20100422,4.6235,4.7411,4.5464,4.6478,4.6235,0.02430000000000021,0.5256,53790.64,61669.2238
2360,000070.SZ,20100423,4.6194,4.7046,4.5343,4.5464,4.6478,-0.10139999999999993,-2.1817,37792.04,43015.6832
