,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2591,600808.SH,20100104,4.1293,4.17,4.0805,4.113,4.113,0.0,0.0,436420.21,221035.332
2590,600808.SH,20100105,4.113,4.1538,4.0234,4.1375,4.113,0.024499999999999744,0.5957,596468.57,300493.985
2589,600808.SH,20100106,4.1212,4.2026,4.0886,4.1212,4.1375,-0.016300000000000203,-0.394,640292.04,326353.318
2588,600808.SH,20100107,4.1212,4.1293,3.9909,4.0397,4.1212,-0.08150000000000013,-1.9776,559101.4,279020.694
2587,600808.SH,20100108,4.0071,4.0316,3.942,4.0153,4.0397,-0.024399999999999977,-0.604,442042.67,216846.985
2586,600808.SH,20100111,4.1049,4.1293,3.9827,4.0153,4.0153,0.0,0.0,394155.71,195529.681
2585,600808.SH,20100112,4.0234,4.0723,3.942,4.0723,4.0153,0.057000000000000384,1.4196,443405.99,218393.477
2584,600808.SH,20100113,3.9827,4.0071,3.9013,3.942,4.0723,-0.13030000000000008,-3.1997,557699.36,270955.111
2583,600808.SH,20100114,3.942,3.9909,3.9176,3.9827,3.942,0.040699999999999736,1.0325,276171.54,134176.153
2582,600808.SH,20100115,3.9827,3.9909,3.9257,3.9583,3.9827,-0.024399999999999977,-0.6126,331332.12,160943.732
2581,600808.SH,20100118,3.9583,3.9664,3.9094,3.9583,3.9583,0.0,0.0,401380.86,193984.635
2580,600808.SH,20100119,3.9583,4.1456,3.942,4.0967,3.9583,0.1384000000000003,3.4965,967386.43,481471.917
2579,600808.SH,20100120,4.0805,4.0967,3.9257,3.9501,4.0967,-0.14660000000000029,-3.5785,607373.82,299055.191
2578,600808.SH,20100121,3.9583,3.9746,3.885,3.9338,3.9501,-0.01629999999999976,-0.4126,289066.09,138991.237
2577,600808.SH,20100122,3.9013,3.9013,3.6732,3.7465,3.9338,-0.18730000000000002,-4.7613,855711.34,396998.621
2576,600808.SH,20100125,3.7302,3.7547,3.6814,3.6977,3.7465,-0.048799999999999955,-1.3025,293327.11,134032.746
2575,600808.SH,20100126,3.6977,3.7302,3.5511,3.5755,3.6977,-0.12220000000000031,-3.3048,397419.81,176144.78
2574,600808.SH,20100127,3.5836,3.5999,3.5103,3.5511,3.5755,-0.024399999999999977,-0.6824,299870.78,130933.875
2573,600808.SH,20100128,3.5511,3.5918,3.5185,3.5836,3.5511,0.032500000000000195,0.9152,233751.59,102146.791
2572,600808.SH,20100129,3.5511,3.6244,3.5266,3.5592,3.5836,-0.024399999999999977,-0.6809,326049.12,143075.001
2571,600808.SH,20100201,3.5592,3.5592,3.4289,3.4533,3.5592,-0.1059000000000001,-2.9754,363683.09,154667.35
