合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,换手率
al1712,11:22:34.0,14065,8,14095,1,14125,1,1690,561100
al1712,11:28:09.0,14065,8,14080,5,14125,1,1690,561100
al1712,11:28:09.500,14065,8,14085,1,14125,1,1690,561100
al1712,11:28:10.0,14065,8,14085,1,14125,1,1690,561100
al1712,11:28:24.500,14065,8,14085,1,14120,1,1690,561100
al1712,11:28:25.0,14065,8,14085,1,14120,1,1690,561100
al1712,11:28:25.500,14065,8,14085,1,14120,2,1690,561100
al1712,11:28:28.500,14120,10,14085,1,14120,1,1692,702300
al1712,11:28:36.500,14120,10,14090,1,14120,1,1692,702300
al1712,11:28:37.0,14120,10,14090,1,14120,1,1692,702300
al1712,11:28:37.500,14120,10,14090,2,14120,1,1692,702300
al1712,11:28:46.0,14120,10,14090,1,14120,1,1692,702300
al1712,11:28:47.0,14120,10,14095,1,14120,1,1692,702300
al1712,11:28:55.500,14120,10,14095,1,14115,1,1692,702300
al1712,11:28:57.500,14115,12,14095,1,14120,1,1694,843450
al1712,11:29:13.0,14115,12,14095,2,14120,1,1694,843450
al1712,11:29:24.0,14115,12,14095,1,14130,1,1694,843450
al1712,11:29:24.500,14115,12,14095,1,14125,1,1694,843450
al1712,11:29:35.0,14095,14,14090,1,14130,1,1692,984400
al1712,11:29:38.0,14090,16,14080,5,14130,1,1690,1.1253e+006
al1712,11:29:41.0,14090,16,14080,5,14130,1,1690,1.1253e+006
al1712,11:29:45.500,14090,16,14080,5,14130,1,1690,1.1253e+006
al1712,11:29:54.0,14090,16,14060,1,14130,1,1690,1.1253e+006
al1712,11:30:01.0,14090,16,14060,1,14130,1,1690,1.1253e+006
